Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,UPSON,7066478111,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"801 W GORDON STREET THOMASTON, GA (32.887252, -84.336109)",http://www.urmc.org/,http://www.urmc.org/content_pages/64,https://www.ahd.com/free_profile/110002/Upson_Regional_Medical_Center/Thomaston/Georgia/
50230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,ORANGE,7145375160,Acute Care Hospitals,Proprietary,True,True,4,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"12601 GARDEN GROVE BLVD GARDEN GROVE, CA (33.774471, -117.913645)",https://www.gardengrovehospital.com/,https://www.gardengrovehospital.com/Contact-Us.aspx,https://www.gardengrovehospital.com/Careers.aspx
100032,BAYFRONT HEALTH - ST PETERSBURG,701 6TH ST S,SAINT PETERSBURG,FL,33701,PINELLAS,7278231234,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"701 6TH ST S SAINT PETERSBURG, FL (27.763222, -82.641663)",https://www.bayfrontstpete.com/,https://www.bayfrontstpete.com/contact,https://www.bayfrontstpete.com/career-opportunities
63301,CHILDRENS HOSPITAL COLORADO,13123 EAST 16TH AVENUE,AURORA,CO,80045,ADAMS,7207771234,Childrens,Voluntary non-profit - Private,True,True,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"13123 EAST 16TH AVENUE AURORA, CO (39.741635, -104.835018)",https://www.childrenscolorado.org/,https://www.childrenscolorado.org/your-visit/locations/aurora/,https://www.childrenscolorado.org/your-visit/locations/
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,MARICOPA,6028654470,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"5555 WEST THUNDERBIRD ROAD GLENDALE, AZ (33.610731, -112.178698)",https://www.bannerhealth.com/locations/glendale/banner-thunderbird-medical-center,https://www.bannerhealth.com/locations/glendale/banner-thunderbird-medical-center-er,https://www.ahd.com/free_profile/030089/Banner_Thunderbird_Medical_Center/Glendale/Arizona/
33302,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,MARICOPA,6029331000,Childrens,Voluntary non-profit - Private,False,True,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"1919 EAST THOMAS ROAD PHOENIX, AZ (33.480216, -112.041193)",http://www.phoenixchildrens.org/,https://careers.phoenixchildrens.com/,https://www.facebook.com/PhoenixChildrensHospital/
50772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA,95661,PLACER,9167844000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1600 EUREKA ROAD ROSEVILLE, CA (38.746698, -121.247166)",https://healthy.kaiserpermanente.org/northern-california/facilities/Kaiser-Permanente-Roseville-Medical-Center-100331,https://thrive.kaiserpermanente.org/care-near-you/northern-california/northvalley/locations/roseville-medical-center/,https://thrive.kaiserpermanente.org/care-near-you/northern-california/northvalley/
40134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,5012197000,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1701 S SHACKLEFORD ROAD LITTLE ROCK, AR (34.739159, -92.394421)",https://www.arheart.com/,https://www.arheart.com/locations/,https://www.arheart.com/location/little-rock-clinic/
41305,MERCY HOSPITAL WALDRON,1341 WEST SIXTH STREET,WALDRON,AR,72958,SCOTT,4796374135,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1341 WEST SIXTH STREET WALDRON, AR (34.896785, -94.106078)",https://www.mercy.net/practice/mercy-hospital-waldron/,https://www.mercy.net/practice/mercy-emergency-department-waldron/,https://www.mercy.net/practice/mercy-family-medicine-waldron/
100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,COLUMBIA,3862928000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"368 NE FRANKLIN ST LAKE CITY, FL (30.193486, -82.632704)",https://www.shandslakeshore.com/,https://www.shandslakeshore.com/career-opportunities,https://www.shandslakeshore.com/contact
50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVENUE,BERKELEY,CA,94705,ALAMEDA,5102044444,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2450 ASHBY AVENUE BERKELEY, CA (37.856488, -122.257329)",http://www.altabatessummit.org/,http://www.altabatessummit.org/about/contact.html,https://www.sutterhealth.org/find-location/facility/alta-bates-summit-medical-center-alta-bates-campus
110187,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DRIVE,DAHLONEGA,GA,30533,LUMPKIN,7068646136,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"227 MOUNTAIN DRIVE DAHLONEGA, GA (34.523492, -83.976073)",https://www.chestateerh.com/,https://www.chestateerh.com/getpage.php?name=directory&sub=About+Us,https://www.thedahloneganugget.com/news-subscribers/chestatee-regional-hospital-closing
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"101 HOSPITAL CIRCLE LUVERNE, AL (31.692595, -86.266156)",http://www.crenshawcommunityhospital.com/,http://crenshawcommunityhospital.com/contact.html,http://www.crenshawcommunityhospital.com/careers.html
50603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,CA,92653,ORANGE,9498374500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"24451 HEALTH CENTER DRIVE LAGUNA HILLS, CA (33.607762, -117.708258)",https://www.memorialcare.org/saddleback-medical-center,https://www.memorialcare.org/saddleback-medical-center/locations/saddleback-medical-center,https://www.memorialcare.org/saddleback-medical-center/directions
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,"1201 7TH STREET SE DECATUR, AL (34.591168, -86.972621)",http://decaturmorganhospital.net/,http://decaturmorganhospital.net/contact/,http://decaturmorganhospital.net/services/behavioral/
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,MARICOPA,4803586100,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1301 SOUTH CRISMON ROAD MESA, AZ (33.3911, -111.615329)",https://www.mvmedicalcenter.org/,https://www.mvmedicalcenter.org/contact-us,https://www.mvmedicalcenter.org/careers
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,GAINESVILLE,GA,30501,HALL,7705353553,Acute Care Hospitals,Government - Local,True,True,3,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"743 SPRING STREET GAINESVILLE, GA (34.30335, -83.81737)",https://www.nghs.com/locations/gainesville/,https://www.nghs.com/,https://www.nghs.com/locations/braselton/
50766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,455 PLUMAS BLVD,YUBA CITY,CA,95991,SUTTER,5307495700,Acute Care Hospitals,Physician,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"455 PLUMAS BLVD YUBA CITY, CA (39.132167, -121.613603)",https://www.sutterhealth.org/find-location/facility/sutter-surgical-hospital-north-valley,https://www.sutterhealth.org/sshnv,https://www.yelp.com/biz/sutter-surgical-hospital-north-valley-yuba-city
100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,32803,ORANGE,4073031976,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"601 E ROLLINS ST ORLANDO, FL (28.573457, -81.370328)",https://www.adventhealth.com/hospital/adventhealth-orlando,https://www.manta.com/c/mm786c8/florida-hospital-south-inc,https://www.yelp.com/biz/adventhealth-orlando-orlando
180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,MC CRACKEN,2705752100,Acute Care Hospitals,Voluntary non-profit - Church,True,True,2,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2501 KENTUCKY AVENUE PADUCAH, KY (37.073255, -88.628215)",https://www.baptisthealth.com/paducah/pages/default.aspx,https://www.baptisthealth.com/paducah/pages/contact/phone-directory.aspx,https://www.baptisthealth.com/paducah/pages/contact.aspx
61313,KIT CARSON COUNTY MEMORIAL HOSPITAL,286 - 16TH STREET,BURLINGTON,CO,80807,KIT CARSON,7193465311,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"286 - 16TH STREET BURLINGTON, CO (39.302378, -102.270711)",https://www.kcchsd.org/,https://www.kcchsd.org/contact_us.aspx,https://www.kcchsd.org/our_health_systems/kit_carson_county_memorial_hospital.aspx
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"805 FRIENDSHIP ROAD TALLASSEE, AL (32.535293, -85.911996)",http://www.chal.org/,http://www.chal.org/employment/listings,http://www.chal.org/about/contact
60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,JEFFERSON,7203210000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"11600 WEST 2ND PLACE LAKEWOOD, CO (39.717956, -105.127494)",https://www.centura.org/locations/st-anthony-hospital,https://www.centura.org/locations/st-anthony-hospital/medical-services,https://www.centura.org/locations/st-anthony-hospital/about
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,8183641555,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"14445 OLIVE VIEW DRIVE SYLMAR, CA (34.325912, -118.445513)",http://dhs.lacounty.gov/wps/portal/dhs/oliveview,http://dhs.lacounty.gov/wps/portal/dhs/oliveview/contactus,https://www.yelp.com/biz/ucla-medical-center-olive-view-sylmar
41302,RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,4792294677,Critical Access Hospitals,Proprietary,True,True,2,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"200 NORTH THIRD STREET DARDANELLE, AR (35.220917, -93.156987)",http://rivervalleymedicalcenter.com/,http://rivervalleymedicalcenter.com/about-river-valley/,http://rivervalleymedicalcenter.com/outpatient-clinic/
50517,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 11TH ST,VICTORVILLE,CA,92392,SAN BERNARDINO,7602458691,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"15248 11TH ST VICTORVILLE, CA (34.52897, -117.292518)",https://vvgmc.com/,https://vvgmc.com/careers/,https://vvgmc.com/contact-version-3/
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,PIMA,5208744189,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"1501 NORTH CAMPBELL AVENUE TUCSON, AZ (32.240663, -110.944717)",https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-tucson,https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-tucson-er,https://emergencymed.arizona.edu/maps-directions
70040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,6117,HARTFORD,8605233800,Acute Care Hospitals,Voluntary non-profit - Private,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1 ABRAHMS BOULEVARD WEST HARTFORD, CT (41.802774, -72.728931)",http://www.hebrewhealthcare.org/,http://www.hebrewhealthcare.org/hebrew_senior_care_services-hospital,https://www.caring.com/senior-living/connecticut/west-hartford/hebrew-home-and-hospital-06117
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"220 HOSPITAL DRIVE JACKSON, AL (31.530482, -87.89318)",http://www.jmc.org/,http://www.jmc.org/getpage.php?name=contact,http://www.hospital-data.com/hospitals/JACKSON-MEDICAL-CENTER-JACKSON.html
40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,5012783100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"3214 EAST RACE AVENUE SEARCY, AR (35.250446, -91.696758)",https://www.unity-health.org/,https://unity-health.org/unity-health-white-county-medical-center,https://unity-health.org/white-county-medical-center
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"500 HOSPITAL DRIVE WETUMPKA, AL (32.551957, -86.185643)",https://ivycreekhealth.com/hospital/elmore-community-hospital/,http://ivycreekhealth.com/hospital/elmore-community-hospital/contact/,https://ivycreekhealth.com/hospital/elmore-community-hospital/about/
101311,MADISON COUNTY MEMORIAL HOSPITAL,224 NW CRANE AVE,MADISON,FL,32340,MADISON,8509732271,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"224 NW CRANE AVE MADISON, FL (30.471413, -83.419898)",http://www.mcmh.us/Main/HomePage,http://www.hospital-data.com/hospitals/MADISON-COUNTY-MEMORIAL-HOSPITAL-MAD923.html,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9829
51335,BEAR VALLEY COMMUNITY HOSPITAL,41870 GARSTIN DR,BIG BEAR LAKE,CA,92315,SAN BERNARDINO,9098666501,Critical Access Hospitals,Government - Hospital District or Authority,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"41870 GARSTIN DR BIG BEAR LAKE, CA (34.246023, -116.888343)",http://bearvalleycommunityhospital.com/,http://bearvalleycommunityhospital.com/contact/,https://www.yelp.com/biz/bear-valley-community-hospital-big-bear-lake
50586,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVE,CHINO,CA,91710,SAN BERNARDINO,9096276111,Acute Care Hospitals,Proprietary,True,True,5,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"5451 WALNUT AVE CHINO, CA (34.026348, -117.685358)",https://www.cvmc.com/,https://www.cvmc.com/Contact-Us.aspx,https://www.cvmc.com/Careers.aspx
161368,FLOYD VALLEY HEALTHCARE,714 LINCOLN ST NE,LE MARS,IA,51031,PLYMOUTH,7125467871,Critical Access Hospitals,Proprietary,True,True,4,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"714 LINCOLN ST NE LE MARS, IA (42.79728, -96.15599)",https://www.floydvalley.org/,https://www.floydvalley.org/clinics---physicians-info.html,https://www.avera.org/locations/floyd-valley-healthcare/
180019,MEADOWVIEW REGIONAL MEDICAL CENTER,989 MEDICAL PARK DRIVE,MAYSVILLE,KY,41056,MASON,6067595311,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"989 MEDICAL PARK DRIVE MAYSVILLE, KY (38.639572, -83.808804)",https://www.meadowviewregional.com/,https://www.meadowviewregional.com/for-patients-and-visitors/about-us/contact-us,https://www.meadowviewregional.com/for-healthcare-professionals/career-opportunities
171340,HERINGTON MUNICIPAL HOSPITAL,100 E HELEN STREET,HERINGTON,KS,67449,DICKINSON,7852582207,Critical Access Hospitals,Government - Local,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"100 E HELEN STREET HERINGTON, KS (38.679561, -96.942274)",https://heringtonhospital.org/,https://www.vitals.com/hospital/3c302h/herington-municipal-hospital-herington,https://www.facebook.com/HeringtonMunicipalHospital/
161371,WINNESHIEK MEDICAL CENTER,901 MONTGOMERY STREET,DECORAH,IA,52101,WINNESHIEK,5633822911,Critical Access Hospitals,Government - Local,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"901 MONTGOMERY STREET DECORAH, IA (43.294634, -91.771187)",http://www.winmedical.org/,https://mayoclinichealthsystem.org/locations/decorah,http://www.visitdecorah.com/business/winneshiek-medical-center
171351,WASHINGTON COUNTY HOSPITAL,304 E 3RD STREET,WASHINGTON,KS,66968,WASHINGTON,7853252211,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"304 E 3RD STREET WASHINGTON, KS (39.817478, -97.045572)",https://www.washcohospital.net/index.html,https://www.washcohospital.net/contact-us.html,http://www.washcohospital.net/medical-staff.html
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON ST,JOLIET,IL,60435,WILL,8157257133,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,"333 N MADISON ST JOLIET, IL (41.528248, -88.134645)",http://www.presencehealth.org/presence-saint-joseph-medical-center-joliet,http://www.presencehealth.org/presence-saint-joseph-medical-center-joliet-phone-numbers,http://www.presencehealth.org/landing.cfm?id=1837&action=detail&ref=295
113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY ROAD,ATLANTA,GA,30342,FULTON,4047855252,Childrens,Voluntary non-profit - Other,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"1001 JOHNSON FERRY ROAD ATLANTA, GA (33.9079, -84.354426)",https://www.choa.org/locations/scottish-rite-hospital,https://www.choa.org/medical-services/emergency-care,https://www.handcenterga.com/locations/surgery/childrens-healthcare-atlanta-scottish-rite
191320,BIENVILLE MEDICAL CENTER,1175 PINE STREET,ARCADIA,LA,71001,BIENVILLE,3182634700,Critical Access Hospitals,Proprietary,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1175 PINE STREET ARCADIA, LA (32.553085, -92.915777)",https://bienvillemedicalcenter.net/,https://bienvillemedicalcenter.net/employment/,https://bienvillemedicalcenter.net/contact-us/
