Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
110095.0,TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,TIFTON,GA,31793.0,TIFT,2293827120.0,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"901 E 18TH STREET TIFTON, GA (31.470402, -83.491076)",https://www.tiftregional.com/,http://www.tiftregional.com/contact-us,https://www.ahd.com/free_profile/110095/Tift_Regional_Medical_Center/Tifton/Georgia/,True
60103.0,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DRIVE,LOUISVILLE,CO,80027.0,BOULDER,3036731280.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"100 HEALTH PARK DRIVE LOUISVILLE, CO (39.950847, -105.149154)",https://www.centura.org/locations/avista-adventist-hospital,https://www.centura.org/locations/avista-adventist-hospital/about,https://www.centura.org/locations/avista-adventist-hospital/medical-services,True
50008.0,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVE,SAN FRANCISCO,CA,94117.0,SAN FRANCISCO,4156006000.0,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"601 DUBOCE AVE SAN FRANCISCO, CA (37.769114, -122.434696)",https://health.usnews.com/best-nursing-homes/area/ca/california-pacific-medical-center-davies-campus-hospital-056245,https://www.nursinghomes.com/ca/san-francisco/california-pacific-medical-center-davies-campus-hospital/,https://www.sutterhealth.org/cpmc/find-location/facility/cpmc-davies-campus,True
30115.0,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037.0,MARICOPA,6233274000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"9201 WEST THOMAS ROAD PHOENIX, AZ (33.479558, -112.257936)",https://www.bannerhealth.com/locations/phoenix/banner-estrella-medical-center,https://www.bannerhealth.com/locations/phoenix/banner-estrella-medical-center-er,https://www.ahd.com/free_profile/030115/Banner_Estrella_Medical_Center/Phoenix/Arizona/,True
50765.0,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,CA,92555.0,RIVERSIDE,9512516000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,This hospital's star rating only includes data reported on inpatient services.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"27300 IRIS AVENUE MORENO VALLEY, CA (33.895697, -117.187121)",https://thrive.kaiserpermanente.org/care-near-you/southern-california/riverside-county/locations/moreno-valley-medical-center/,https://healthy.kaiserpermanente.org/southern-california/health-wellness/maternity/find-hospital/moreno-valley,https://healthy.kaiserpermanente.org/southern-california/facilities/moreno-valley-medical-center-300019,True
30065.0,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202.0,MARICOPA,4804123000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"1400 SOUTH DOBSON ROAD MESA, AZ (33.39091, -111.874624)",https://www.bannerhealth.com/locations/mesa/banner-desert-medical-center,https://www.bannerhealth.com/locations/mesa/banner-desert-medical-center-er,https://www.vitals.com/hospital/3jgkt5/banner-desert-medical-center-mesa,True
30111.0,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713.0,PIMA,5208742000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2800 EAST AJO WAY TUCSON, AZ (32.177882, -110.930891)",https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-south,https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-south-campus-multispecialty-services-ajo,https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-south-er,True
10016.0,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007.0,SHELBY,2056208100.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1000 FIRST STREET NORTH ALABASTER, AL (33.253679, -86.814261)",https://www.brookwoodbaptisthealth.com/our-locations/shelby-baptist-medical-center-location,https://www.yelp.com/biz/shelby-baptist-medical-center-alabaster,https://www.healthgrades.com/hospital-directory/alabama-al/shelby-baptist-medical-center-hgst97aa7b36010016,True
30093.0,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375.0,MARICOPA,6235244000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"14502 WEST MEEKER BOULEVARD SUN CITY WEST, AZ (33.658307, -112.371939)",https://www.bannerhealth.com/locations/sun-city-west/banner-del-e-webb-medical-center,https://www.bannerhealth.com/locations/sun-city-west/banner-del-e-webb-medical-center-er,https://www.ahd.com/free_profile/030093/Banner_Del_E_Webb_Medical_Center/Sun_City_West/Arizona/,True
50180.0,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598.0,CONTRA COSTA,9259393000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"1601 YGNACIO VALLEY RD WALNUT CREEK, CA (37.914297, -122.042071)",https://www.johnmuirhealth.com/locations/john-muir-medical-center-walnut-creek.html,https://www.johnmuirhealth.com/locations/medical-imaging-walnut-creek-hospital.html,https://www.hospitalcouncil.org/hospital/john-muir-medical-center-walnut-creek-campus,True
110087.0,GWINNETT MEDICAL CENTER,1000 MEDICAL CENTER BOULEVARD,LAWRENCEVILLE,GA,30045.0,GWINNETT,6783121000.0,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1000 MEDICAL CENTER BOULEVARD LAWRENCEVILLE, GA (33.966455, -84.013012)",https://www.gwinnettmedicalcenter.org/,https://www.gwinnettmedicalcenter.org/facilities/gwinnett-medical-center%E2%80%93lawrenceville,https://www.gwinnettmedicalcenter.org/contact-us/contact-us-home,True
30105.0,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206.0,MARICOPA,4808545050.0,Acute Care Hospitals,Voluntary non-profit - Private,False,True,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"6750 EAST BAYWOOD AVENUE MESA, AZ (33.410379, -111.685302)",https://www.bannerhealth.com/locations/mesa/banner-heart-hospital,https://www.mapquest.com/us/arizona/banner-heart-hospital-372128006,https://www.yelp.com/biz/banner-heart-hospital-mesa-3,True
110115.0,WELLSTAR ATLANTA MEDICAL CENTER,"303 PARKWAY DRIVE, NE",ATLANTA,GA,30312.0,FULTON,4042654000.0,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"303 PARKWAY DRIVE, NE ATLANTA, GA (33.76327, -84.373986)",https://www.wellstar.org/locations/pages/wellstar-atlanta-medical-center.aspx,https://www.wellstar.org/locations/pages/practice-detail.aspx?lid=a399bf56-5c9f-4921-8a99-cf16b6efa34c,https://www.ahd.com/free_profile/110115/WellStar_Atlanta_Medical_Center/Atlanta/Georgia/,True
100038.0,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,33021.0,BROWARD,9549872000.0,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"3501 JOHNSON ST HOLLYWOOD, FL (26.018262, -80.178865)",https://www.mhs.net/locations/memorial-regional,https://www.mhs.net/locations/memorial-south,https://www.mhs.net/,True
10114.0,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021.0,JEFFERSON,2054817000.0,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"995 9TH AVENUE SOUTHWEST BESSEMER, AL (33.373086, -86.991709)",https://projects.propublica.org/emergency/hospital/010114,https://www.medicalrecords.com/hospital/medical-west-an-affiliate-of-uab-health-system,http://www.medicalwesthospital.org/,True
100288.0,ST MARY'S MEDICAL CENTER WEST PALM BEACH FL,901 45TH ST,WEST PALM BEACH,FL,33407.0,PALM BEACH,5618406202.0,Acute Care Hospitals,Proprietary,True,True,2,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"901 45TH ST WEST PALM BEACH, FL (26.753208, -80.062803)",https://www.stmarysmc.com/,https://www.stmarysmc.com/for-health-professionals/careers-at-st-marys-medical-center,https://www.stmarysmc.com/contact-us,True
100213.0,BLAKE MEDICAL CENTER,2020 59TH ST W,BRADENTON,FL,34209.0,MANATEE,9417926611.0,Acute Care Hospitals,Proprietary,True,True,1,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2020 59TH ST W BRADENTON, FL (27.482176, -82.620468)",https://blakemedicalcenter.com/,https://www.facebook.com/BlakeMedicalCenter/,"https://www.indeed.com/q-Blake-Medical-Center-l-Bradenton,-FL-jobs.html",True
100206.0,MEMORIAL HOSPITAL OF TAMPA,2901 W SWANN AVE,TAMPA,FL,33609.0,HILLSBOROUGH,8138736400.0,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2901 W SWANN AVE TAMPA, FL (27.937443, -82.489816)",https://memorialhospitaltampa.com/,https://memorialhospitaltampa.com/careers/,https://memorialhospitaltampa.com/about/contact.dot,True
50758.0,MONTCLAIR HOSPITAL MEDICAL CENTER,5000 SAN BERNARDINO ST,MONTCLAIR,CA,91763.0,SAN BERNARDINO,9096258300.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Not Available,Results are not available for this reporting period.,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"5000 SAN BERNARDINO ST MONTCLAIR, CA (34.077662, -117.696098)",https://www.montclair-hospital.org/,https://www.montclair-hospital.org/Contact-Us.aspx,https://www.montclair-hospital.org/Careers.aspx,True
100025.0,SACRED HEART HOSPITAL PENSACOLA FL,5151 N 9TH AVE,PENSACOLA,FL,32504.0,ESCAMBIA,8504167000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"5151 N 9TH AVE PENSACOLA, FL (30.475588, -87.210986)",https://healthcare.ascension.org/Locations/Florida/FLPEN/Pensacola-Sacred-Heart-Hospital-Pensacola,http://sacred-heart.org/M/shhp/,https://www.sacred-heart.org/news/,True
50025.0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103.0,SAN DIEGO,6195436222.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"200 WEST ARBOR DRIVE SAN DIEGO, CA (32.753717, -117.165914)",https://health.ucsd.edu/locations/pages/hillcrest.aspx,https://health.ucsd.edu/,https://health.ucsd.edu/locations/pages/opc.aspx,True
70019.0,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,MILFORD,CT,6460.0,NEW HAVEN,2038764000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"300 SEASIDE AVENUE MILFORD, CT (41.217141, -73.064332)",http://www.milfordhospital.org/,http://www.milfordhospital.org/employment/,http://www.milfordhospital.org/contact/,True
40078.0,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901.0,GARLAND,5013211000.0,Acute Care Hospitals,Proprietary,True,True,2,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"1910 MALVERN AVENUE HOT SPRINGS, AR (34.486239, -93.033554)",https://nationalparkmedical.com/,https://nationalparkmedical.com/contact-us/,https://nationalparkmedical.com/careers/,True
60114.0,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138.0,DOUGLAS,3032694000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"9395 CROWN CREST BLVD PARKER, CO (39.550058, -104.773433)",https://www.centura.org/locations/parker-adventist-hospital,https://www.centura.org/locations/parker-adventist-hospital/medical-services,https://www.centura.org/locations/parker-adventist-hospital/about,True
40118.0,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR,72401.0,CRAIGHEAD,8709727000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"4800 EAST JOHNSON AVENUE JONESBORO, AR (35.864204, -90.639107)",https://www.baptistonline.org/locations/nea,https://www.baptistonline.org/locations/nea/services,https://neabaptistclinic.com/locations/nea-baptist-memorial-hospital/,True
50609.0,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,3440 E LA PALMA AVE,ANAHEIM,CA,92806.0,ORANGE,7142794000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,5,This hospital's star rating only includes data reported on inpatient services.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"3440 E LA PALMA AVE ANAHEIM, CA (33.854441, -117.84411)",https://thrive.kaiserpermanente.org/care-near-you/southern-california/orange-county/locations/orange-county-anaheim-medical-center/,https://www.vitals.com/hospital/3p00r7/kaiser-foundation-hospital-orange-county-anahe-anaheim,http://orange.networkofcare.org/mh/services/medicare-hospital-detail.aspx?pn=50609,True
50423.0,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225.0,RIVERSIDE,7609224115.0,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"250 NORTH FIRST STREET BLYTHE, CA (33.61245, -114.595479)",http://www.paloverdehospital.org/,http://www.paloverdehospital.org/contactus,https://www.yelp.com/biz/palo-verde-hospital-blythe,True
50512.0,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,FREMONT,CA,94538.0,ALAMEDA,5107844000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"39400 PASEO PADRE PKWY FREMONT, CA (37.550913, -121.975769)",https://healthy.kaiserpermanente.org/northern-california/facilities/Kaiser-Permanente-Fremont-Medical-Center-and-Offices-100367,https://healthy.kaiserpermanente.org/health/care/poc/!ut/p/a1/dZFNU8IwEIZ_i4ceyS5UK3orMDAt4heiNBcmbUMJpk0njUX89SZVDs5IJpfNPvtu3l2gsAZasVYUzAhVMeliGmym8fJhNOqHiKP4EqNFeP98FceI2IcYaCFV2qHJQC_GiwJozcyuJ6qtgnWtMpfZGVPfeujhlmVCCnPs5ULzzCh99BCoyGHdR_SDaweHVeoPrYzmW665Jh_aqjuFppM4HA6kUKqQnGSqtOX_lOxUY2D9l4Q3oH_tDFf-BKPVeDoOniLbH38B9KOnDpg9BojRcP4yf72Z-4iDE3DmhAgJJPT67MRmA1g6DWs4-TVso41uRQ2Jh_um9nDCa6ZNyStzJxpD7NsPwyxyGt_YaElawQ8zXnHNZOSGbSlrk4i0JJbjDamVNpIbUqqcQ-Jwx-xZyz5Jw3XrcqLK5EfOidvZptvZ6R8bLVuRd_3rd5oefdnebZdRj6Vf3N4kvLj4BnS5ipg!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/pw/Z7_FJSOBB1A00BJ40IMANR5JJ00G2/ren/p=id=100367/p=_rvip=QCPjspQCPFacilityDirectoryHome.jsp/p=_rap=facilityCtrl.viewFacilityServicesList/p=serviceId=106732/p=com.ibm.faces.portlet.mode=view/p=javax.servlet.include.path_info=QCPjspQCP_rlvid.jsp/=/,https://thrive.kaiserpermanente.org/care-near-you/northern-california/gsaa/locations/60/visitor-information/,True
50777.0,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577.0,ALAMEDA,5104541000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,This hospital's star rating only includes data reported on inpatient services.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"2500 MERCED STREET SAN LEANDRO, CA (37.706524, -122.169447)",https://healthy.kaiserpermanente.org/northern-california/facilities/san-leandro-medical-center-301981,https://thrive.kaiserpermanente.org/care-near-you/northern-california/gsaa/locations/san-leandro-medical-center/,https://share.kaiserpermanente.org/article/kaiser-permanente-san-leandro-medical-center-now-open/,True
40062.0,MERCY HOSPITAL FORT SMITH,7301 ROGERS AVE,FORT SMITH,AR,72917.0,SEBASTIAN,4793146000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"7301 ROGERS AVE FORT SMITH, AR (35.353647, -94.352964)",https://www.mercy.net/practice/mercy-hospital-fort-smith/,https://www.mercy.net/practice/mercy-emergency-department-fort-smith/,https://www.mercy.net/newsroom/mercy-hospital-fort-smith-quick-facts/,True
50590.0,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823.0,SACRAMENTO,9164236010.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"7500 HOSPITAL DRIVE SACRAMENTO, CA (38.464232, -121.416333)",https://www.dignityhealth.org/sacramento/locations/methodist-hospital-of-sacramento,https://locations.dignityhealth.org/methodist-hospital-of-sacramento-sacramento-ca,https://www.yelp.com/biz/methodist-hospital-of-sacramento-sacramento-4,True
50174.0,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405.0,SONOMA,7075255300.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"1165 MONTGOMERY DR SANTA ROSA, CA (38.442954, -122.701112)",https://www.stjoesonoma.org/,https://www.stjoesonoma.org/contact-us/locations-and-directions/santa-rosa-memorial-hospital/,https://www.stjhs.org/our-locations/northern-california/santa-rosa-memorial-hospital/,True
30136.0,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339.0,MARICOPA,6235845100.0,Acute Care Hospitals,Proprietary,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"7171 SOUTH 51ST AVENUE LAVEEN, AZ (33.380677, -112.168233)",https://www.dignityhealth.org/arizona/locations/arizonageneral,https://www.dignityhealth.org/arizona/locations/arizonageneral/contact-us,https://www.dignityhealth.org/arizona/locations/arizonageneral/patients-and-visitors/for-patients/billing-payment,True
60031.0,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 NORTH NEVADA AVENUE,COLORADO SPRINGS,CO,80907.0,EL PASO,7197765000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"2222 NORTH NEVADA AVENUE COLORADO SPRINGS, CO (38.865568, -104.820123)",https://www.centura.org/locations/penrose-st-francis-health-services,https://www.centura.org/locations/penrose-st-francis-health-services/about,https://www.centura.org/locations/penrose-st-francis-health-services/medical-services,True
50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,CA,91801.0,LOS ANGELES,6265701606.0,Acute Care Hospitals,Proprietary,False,True,4,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"100 S RAYMOND AVE ALHAMBRA, CA (34.090156, -118.145017)",http://www.alhambrahospital.com/,http://www.alhambrahospital.com/getpage.php?name=contact,http://www.alhambrahospital.com/getpage.php?name=employment,True
60065.0,NORTH SUBURBAN MEDICAL CENTER,9191 GRANT ST,THORNTON,CO,80229.0,ADAMS,3034517800.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"9191 GRANT ST THORNTON, CO (39.86438, -104.984783)",https://northsuburban.com/,https://northsuburban.com/about/contact-us/,https://northsuburban.com/careers/search.dot,True
50624.0,HENRY MAYO NEWHALL  HOSPITAL,23845  MCBEAN PKWY,VALENCIA,CA,91355.0,LOS ANGELES,6612538000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"23845 MCBEAN PKWY VALENCIA, CA (34.396342, -118.553143)",https://www.henrymayo.com/,https://www.yelp.com/biz/henry-mayo-newhall-hospital-valencia,https://www.mapquest.com/us/california/henry-mayo-newhall-hospital-11057678,True
100075.0,ST JOSEPHS HOSPITAL TAMPA FL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677.0,HILLSBOROUGH,8138704398.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,"3001 W MARTIN LUTHER KING JR BLVD TAMPA, FL (27.981461, -82.490585)",https://baycare.org/hospitals/st-josephs-hospital,https://baycare.org/locations/s/st-josephs-hospital,https://www.healthcare4ppl.com/hospital/florida/tampa/st-josephs-hospital-100075.html,True
10139.0,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209.0,JEFFERSON,2058771000.0,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM, AL (33.46291, -86.77685)",https://www.brookwoodbaptisthealth.com/our-locations/brookwood-baptist-medical-center-location,https://www.brookwoodbaptisthealth.com/,https://www.brookwoodbaptisthealth.com/contact,True
40067.0,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,MAGNOLIA,AR,71754.0,COLUMBIA,8702353000.0,Acute Care Hospitals,Government - Local,True,True,3,,Below the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"101 HOSPITAL DRIVE MAGNOLIA, AR (33.275123, -93.240071)",https://magnoliarmc.org/,http://www.magnoliareporter.com/news_and_business/local_business/article_5312c010-c0f6-11e8-95c2-6b7a5d62f04a.html,https://www.ahd.com/free_profile/040067/Magnolia_Regional_Medical_Center/Magnolia/Arkansas/,True
50414.0,MERCY HOSPITAL OF FOLSOM,1650 CREEKSIDE DRIVE,FOLSOM,CA,95630.0,SACRAMENTO,9169837400.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"1650 CREEKSIDE DRIVE FOLSOM, CA (38.671125, -121.145833)",https://www.dignityhealth.org/sacramento/locations/mercy-hospital-of-folsom,https://locations.dignityhealth.org/mercy-hospital-of-folsom-folsom-ca,https://www.yelp.com/biz/mercy-hospital-of-folsom-folsom,True
50039.0,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926.0,BUTTE,5303327300.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"1531 ESPLANADE CHICO, CA (39.742284, -121.849128)",https://www.enloe.org/,https://www.facebook.com/enloe.medical/,https://www.yelp.com/biz/enloe-medical-center-chico-4,True
