 Item Description,Charge Amount
CATHETER SOFT-VU BRAIDED BERENSTEIN 5FR X 140CM,505.22
CATHETER SOLO 5X16MM BALLOON SINUS,3078
CATHETER STRAIGHT FORD   UA10.0-68-40-P-30S-FORD-051783,337.5
CATHETER SUPPORT NAVICROSS 150CM STRAIGHT,769.5
CATHETER SUPRAPUBIC STAMEY PERCUTANEOUS,233.01
CATHETER SURESTREAM INTRASPINALKIT,2215
CATHETER SWAN NECK PRESTERNAL,1336.23
CATHETER TAMPONADE BALLOON 7 FR,864
CATHETER TUN-L-KATH 19 GA TUNNEL CATH SPRING GUIDED,292.68
CATHETER URETERAL DUAL LUMEN,313.65
CATHETER UROFORCE BALLOON 4MM X 6CM,693
CATHETER UROFORCE BALLOON 5MM X 10CM W/INFLATION KIT,792
CATHETER UROFORCE BALLOON 5MM X 4CM W/INFLATION KIT,792
CATHETER UROFORCE BALLOON 6MM X 4CM,717.53
CATHETER UROLOGICAL BALLOON DIALATION,2235.83
CATHETER VENTRIC  MARK LENGTH 35CM,279
CATHETER VENTRIC W/TROCAR SZ35CM,270
CATHETER VENTRICULAR 1.3MM ID X 2.5MM OD X 23CM,272
CATHETER VENTRICULAR buyer,1025
CATHETER VENTRICULAR TRAUMA,351.98
CATHETER WINGMAN CROSSER 3.8 FR .018X135CM,3375
CATHETER WINGMAN CROSSER 4.6 FR .035X135CM,3375
CATHETER X-FORCE BALLOON KIT 30FR X 12CM,850.5
CAVITY CREATION  INSTRUEMENT 15MM STERILE,3375
CAVITY CREATION  INSTRUEMENT STERILE,3375
CEMENT BONE AND KYPHON MIXER,900
CEMENT BONE COBALT MV,337.5
CEMENT BONE KYPHX HV R,247.5
CEMENT BONE PALACOS RADIOPAQUE 1 X40G SINGLE,155
CEMENT BONE SIMPLEX P FULL-DOSE -MUST PURCHASE IN 25 BOXES PER ORDER,270
CEMENT BONE SIMPLEX P FULL-DOSE -MUST PURCHASE IN 25 BOXES PER ORDER,150
CEMENT BONE SMARTSET 40G HV,125
CEMENT BONE SMARTSET ENDURANCE 80G MV,250
CEMENT CONFIDENCE KIT,16956
CEMENT MIXER SMARTMIX TOWER,358.74
CEMENT QUICK-VAC MIXING SYSTEM,474.98
CEMENT RESTRICTOR LARGE buyer,184.8
CEMENT RESTRICTOR SMALL,184.8
CEMENT SIMPLEX HV US,270
CEMENT SIMPLEX P SPEEDSET FULL-DOSE,270
CEMENT SIMPLEX P W/ TOBRAMYCIN 1G ANITBOTIC BONE CEMENT,1125
CEMENTED STEM-STR MM 13 X 125,6757.93
CENTRALIZER HIP VERSYS DISTAL 11MM,187.5
CENTRALIZER HIP VERSYS DISTAL 16MM,187.5
CENTRALIZER HIP VERSYS DISTAL 18MM,187.5
CERCLAGE BUTTON T25/3.5MM,359.1
CHARGER KIT,6250.5
CHARGER/PROGRAMMER  NEURO STIMULATOR,4500
CHARGING SYSTEM (RECHARGER),5850
CHARGING SYSTEM ANS,4477.5
CHECK - FLO INTRODUCER SET PERFORMER  38-35,499.19
CHEST DRAINAGE UNIT OASIS DRY DUAL-CHAMBER,260.16
CHIA WIRE,607.5
CHIP BONE CANCELLOUS 15CC 4-10 MM,779.63
CHIP CANCELLOUS CRUSHED 30CC,1217.5
CHIPS CANCELLOUS CRUSHED15CC 1-4 MM (SPINAL GRAFT),571.73
CHOLANGIOGRAPHY SET WITH BALLOON CATHETER,495
CLAMP  4.0MM TO 60MM RTANSFX 11MM,665.65
CLAMP  MINI 1.6MM,1506.23
CLAMP ADJUSTABLE F/MANDIBLE EX-FIX,1948.73
CLAMP ATRICURE ISOLATOR SYNERGY SHORT JAW,10800
CLAMP BAR 30 DEGREE,2089.8
CLAMP COMBINATION 8.0MM /11.0MM,2341.85
CLAMP DOUBLE LONG,1317.5
CLAMP EX-FIX  LGE PIN CLAMP 4-POSITION,1731.38
CLAMP EX-FIX  LGE PIN CLAMP 6-POSITION,1780.11
CLAMP EX-FIX LARGE MULTI-PIN MR SAFE,2859.98
CLAMP EX-FIX LARGE OPEN ADJUSTABLE,2072.52
CLAMP EX-FIX LGE COMBINATION,2500.88
CLAMP EX-FIX MEDIUM OPEN ADJUSTABLE,1680.08
CLAMP EX-FIX SML COMBINATION,1313.28
CLAMP SINGLE LONG,1012.5
CLAMP SMALL FRAGMENT OUTER 28/28,2487.5
CLEARVIEW BLOWER/MISTER HANDPIECE W/TUBING,207
CLIP  DISPOSABLE FIXING DEVICE,382.5
CLIP ANERUYSM SUGITA TEMP 11.0 STRAIGHT 12MM,1609.52
CLIP ANERUYSM SUGITA TEMP 13.0 STRAIGHT 15MM,1609.52
CLIP ANERUYSM SUGITA TEMP LARGE CURVED 14MM,1609.52
CLIP ANERUYSM SUGITA TEMP STD CURVED 11M,1609.52
CLIP ANEURYSM SUGITA 8.0 45-ANGLED 5MM,894.18
CLIP ANEURYSM SUGITA FEN-LGE (3.5) 10.0 STRAIGHT 6MM,894.18
CLIP ANEURYSM SUGITA FEN-LGE (3.5) 8.0 BENT 5MM,894.18
CLIP ANEURYSM SUGITA LGE 11.0 BENT 12MM,894.18
CLIP ANEURYSM SUGITA LGE 13.0 BAYONET 12MM,894.18
CLIP ANEURYSM SUGITA LGE 13.0 STRAIGHT 15MM,894.18
CLIP ANEURYSM SUGITA LGE 14.0 STRAIGHT 18MM,894.18
CLIP ANEURYSM SUGITA LGE 8.0 J-SHAPED 7.5MM,894.18
CLIP ANEURYSM SUGITA LGE 8.0 J-SHAPED 9MM,894.18
CLIP ANEURYSM SUGITA LGE 8.0 L-SHAPED 10MM,894.18
CLIP ANEURYSM SUGITA LGE CURVED 11MM,894.18
CLIP ANEURYSM SUGITA LGE CURVED 14MM,894.18
CLIP ANEURYSM SUGITA MINI  4.0 CURVED 5MM,894.18
CLIP ANEURYSM SUGITA MINI  4.0 CURVED 7.0MM,894.18
CLIP ANEURYSM SUGITA MINI 4.0 BENT 5MM,894.18
CLIP ANEURYSM SUGITA MINI 5.0 STRAIGHT 6MM,894.18
CLIP ANEURYSM SUGITA MINI CURVED SLIM TIP 6.7MM,894.18
CLIP ANEURYSM SUGITA MINI STRAIGHT SLIM TIP 4MM,894.18
CLIP ANEURYSM SUGITA MINI STRAIGHT SLIM TIP 6MM,894.18
CLIP ANEURYSM SUGITA STD 8.0 BENT 8MM,894.18
CLIP ANEURYSM SUGITA STD 8.0 CURVED  9MM,894.18
CLIP ANEURYSM SUGITA STD 8.0 SIDE-CURVED 9MM,894.18
CLIP ANEURYSM SUGITA STD 8.0 STRAIGHT 7MM,894.18
CLIP ANEURYSM SUGITA STD 9.0 BAYONET 7MM,894.18
CLIP ANEURYSM SUGITA STD 9.0 SIDE-BENT 8MM,894.18
CLIP ANEURYSM SUGITA STD 9.0 SIDE-CURVED  6MM,894.18
CLIP ANEURYSM SUGITA STD 9.0 SIDE-CURVED  9MM,894.18
CLIP ANEURYSM SUGITA STD 9.0 STRAIGHT 10MM,894.18
CLIP ANEURYSM SUGITA STD SIDE-CURVED 11MM,894.18
CLIP ANEURYSM SUGITA TEMP MINI 5.0 STRAIGHT 5mm,894.18
CLIP ANEURYSM SUGITA TEMP MINI 5.0 STRAIGHT 6MM,894.18
CLIP ANEURYSM SUGITA TEMP STD 8.0 STRAIGHT 7MM,1609.52
CLIP ANEURYSM SUGITA TEMP STD 9.0 BAYONET 7MM,1609.52
CLIP ANEURYSM SUGITA TEMP STD 9.0 STRAIGHT 10MM,1609.52
CLIP APPLIER 10MM LAP  (20 MED/LGE CLIPS),382.5
CLIP APPLIER ENDO 10MM MED/LGE 20-CLIP ROTATING LIGACLIP,278.33
CLIP APPLIER ENDO 12MM LGE 20-CLIP ROTATING LIGACLIP,321.15
CLIP APPLIER ENDO 5MM MED/LGE UNIVERSAL,540
CLIP APPLIER ENDO 5MM MED/LGE15-CLIP LIGAMAX,541.58
CLIP APPLIER RESOLUTION 360,985.5
CLIP APPLIER WECK ENDO5,558
CLIP APPLIERS DAVINCI HEM-O-LOCK,630
CLIP ATRICURE FLEX 45MM,13750
CLIP LOCKING,248.81
CLOSURE TOP F/OPEN CONN NEXLINK OCT 4.0MM,187.5
CLOSURE TOP SEQUOIA 5.5MM,125
CMF SCREWDRIVER SHAFT MATRIXRIB MED BLADE,3802.5
COAPTITE IMPLANT AND 1ML SYRINGE,962.78
COBLATOR EVAC XTRA,1174.5
COBLATOR PROCISE EZ VIEW,1242
COBLATOR REFLEX ULTRA 45,1084.5
COCHLEAR WIRELESS MINI MICROPHONE,787.5
COIL EMBOLIZATION MREYE 35-10-8,236.58
COIL EMBOLIZATION MREYE 35-14-8,236.58
COIL EMBOLIZATION MREYE 35-3-4,235.9
COIL NESTER EMBOLIZATION .035 / MWCE-35-7-6-NESTER,455.04
COIL TORNADO EMBOLIZATION,267.28
COMPONENT FEMORAL DISTAL  XSMALL RIGHT,15463.93
COMPONENT NEXGEN LPS FLEX SZ H LEFT,4375
CONFORMER OCULAR VENTED MEDIUM,279
CONICAL DRILL 3&4MM,1012.5
CONICAL SCREW COVER,462.5
CONN 6.35MM X 5.5MM OD/ SD TOP NOTCH,1500
CONN. O/O SD TOP NTCH 5.5X5.5,1500
CONNECTOR ACCU-FLO RIGHT ANGLE,241.3
CONNECTOR BARBED,432
CONNECTOR CLD LATERAL 5.5 X 20MM EXPEDIUM PLUS TI,1500
CONNECTOR CLOSURE TOP HEAD 2HEAD,175
CONNECTOR CROSS EXPEDIUM ANT 13MM,2000
CONNECTOR DOME NUT TOP HEAD 2HEAD,175
CONNECTOR EXPEDIUM 5.5-6.35MM,4012.5
CONNECTOR INCOMPASS ADJ LARGE,1750
CONNECTOR INCOMPASS ADJ MEDIUM,1750
CONNECTOR MOUNTAINEER LATERAL OFFSET,1500
CONNECTOR NEX-LINK BAND R-R 4.0 X 4.0MM,1275.6
CONNECTOR NEX-LINK BAND R-R 4.0 X 5.5MM,1275.6
CONNECTOR NEX-LINK INLINE R-R 4.0 X 4.0MM,1275.6
CONNECTOR NEX-LINK INLINE R-R 4.0 X 5.5MM,1275.6
CONNECTOR NEXLINK OFFSET 10,815.68
CONNECTOR NEXLINK OFFSET 4.0 - 5MM,815.68
CONNECTOR NEX-LINK TRANSVRS 4.0 X 30MM VAR-XLINK,1475.18
CONNECTOR O/C ANGLED 5.5-6.35 X 5.5MM EXPEDIUM PLUS TI,1500
CONNECTOR OCCIPITAL TOP LOADING 3.5MM,3550
CONNECTOR OPEN/CLOSED EXPEDIUM TI PLUS 5.5X5.5MM,1500
CONNECTOR PUDENZ THREE-WAY,379.26
CONNECTOR ROD SINGLE INLINE 5.5 X 5.5 EXPEDIUM PLUS TI,1500
CONNECTOR SMALL OFFSET 12MM,1500
CONNECTOR ST360 TRANSVERSE 30-40MM,1023.15
CONNECTOR ST360 TRANSVERSE 50-60MM,1023.15
CONNECTOR STRAIGHT PUDENZ NYLON,129.7
CONNECTOR TITLE-2 AXIAL 5.5 TO 5.5MM,1755
CONNECTOR TITLE-2 OFFSET 5.5 TO 5.5MM,1755
CONNECTOR TITLE-2 TRANSVERSE 30MM,2500
CONNECTOR TITLE-2 TRANSVERSE 40MM,2500
CONNECTOR TITLE-2 TRANSVERSE 50MM,2500
CONNECTOR TITLE-2 TRANSVERSE 60MM,2500
CONNECTOR TITLE-2 TRANSVERSE 70MM,2500
CONNECTOR TITLE-2 TRANSVERSE 80MM,2500
CONNECTOR TRANS SMALL HEAD 2HEAD,1750
CONNECTOR TRANSV NEXLINK 4.0 X 45MM,1475.18
CONNECTOR TRANSVERSE,2100
CONQUEST PTA BALLOON CATH 10MM X 4CM X 75,900
CONQUEST PTA BALLOON CATH 12MM X 4CM X 75,900
CONQUEST PTA BALLOON CATH 5MM X 4CM X 120CM,1035
CONQUEST PTA BALLOON CATH 5X2,900
CONQUEST PTA BALLOON CATH 6MM X 2CM X 120CM,1035
CONQUEST PTA BALLOON CATH 6MM X 2CM X 50,900
CONQUEST PTA BALLOON CATH 6MM X 2CM X 75,900
CONQUEST PTA BALLOON CATH 6MM X 4CM X 120CM,1035
CONQUEST PTA BALLOON CATH 6MM X 4CM X 75,900
CONQUEST PTA BALLOON CATH 7 X 2,900
CONQUEST PTA BALLOON CATH 8MM X 4CM X 50,900
CONQUEST PTA BALLOON CATH 8MM X 4CM X 75,900
CONQUEST PTA BALLOON CATH 8MM X 6CM X 75,900
CONTINUUM TRILOGY ACETAB NEUT LINER 32MM SZGG,0
CONTINUUM TRILOGY ACETAB NEUT LINER 36MM SZJJ,0
CONTROLLER HEARTMATE II,20250
CONTROLLER HEARTMATE II UPDATED VERSION,24750
CONTROLLER REMOTE PATIENT THERAPY,3222
CORD DYNESYS 100MM,5506.33
COREVALVE TAVR COMPRESSION LOADING SYSTEM,1755
COREVALVE TAVR DELIVERY SYSTEM F/23MM,9495
COREVALVE TAVR DELIVERY SYSTEM F/26/29/34MM,13995
COREX BONE HARVESTER 7MM,4950
COREX BONE HARVESTER 9MM,4950
COR-KNOT 6/PK LOADS (72 CK),1080
COR-KNOT DEVICE,1710
COR-KNOT STANDARD DEVICE (W/72 CK),2992.5
CORKSCREW BIO FT,762.5
CORMATRIX ECM 4CM X 7 CM CARDIAC TISSUE REPAIR,1987.5
CORMATRIX ECM 7CM X 10 CM CARDIAC TISSUE REPAIR,2437.5
CORMATRIX ECM 7CM X 15 CM CARDIAC TISSUE REPAIR,3237.5
CORTICAL 3.5 X 24,207
CORTICAL LOCKING 3.5 36,241.5
CORTICAL LOCKING 3.5 X 14,207
CORTICAL LOCKING 3.5 X 22MM,207
COSEAL SEALANT 4ML,1330.4
COSEAL SPRAY SET,230.09
COTRICAL STRUT 100MM X 20MM FREEZE DRIED,1378.3
COUNTERSINK,657
COUNTERSINK  AXSOS 6.0 X 100 W AO,877.5
COUNTERSINK 2.8MM CANNULATED,598.5
COUNTERSINK 3.7MM,900
COUNTERSINK 3.8MM,920.97
COUNTERSINK 4.0MM CANNULATED,598.5
COUNTERSINK 5.0 CANNULATED,598.5
COUNTERSINK CANNULATED,1252.35
COUNTERSINK CANNULATED 3.0,1338.93
COUNTERSINK CANNULATED 4.0MM,675
COUNTERSINK CANNULATED F/1.5 & 2.0MM SCREWS,287.85
COUNTERSINK CANNULATED F/3.5 & 4.0MM SCREWS,1210.68
COUNTERSINK CANNULATED FOR 4.5 MM CANNULATED SCREW,1259.42
COUNTERSINK COUPLING CANN 2.00 ASNIS MICRO 2.8MM,991.44
COUNTERSINK DARCO HEADED SCREWS,711
COUNTERSINK PROFYLE MOD 38MM AO SHAFT,544.32
COUNTERSINK PROFYLE MOD 47MM AO SHAFT,544.32
COUNTERSINK PROFYLE MOD 48MM AO SHAFT,544.32
COUNTERSINK PROFYLE MOD 54MM STRYKER SHAFT,544.32
COUNTERSINK VARIAX F/2.7 / 3.5MM SCREWS,265.95
COUNTERSINK W/CENTERING PINS 2.4MM,2441.52
COVER BURR HOLE 12MM,460.85
COVER BURR HOLE 12MM TI MATRIX NEURO,485.93
COVER BURR HOLE 12MM TI MATRIX NEURO F/SHUNT,485.93
COVER BURR HOLE 15MM,460.85
COVER BURR HOLE 15MM TI MATRIX NEURO,485.93
COVER BURR HOLE 15MM TI MATRIX NEURO F/SHUNT,485.93
COVER BURR HOLE 17MM  6 HOLES,440.48
COVER BURR HOLE 17MM TI MATRIX NEURO,485.93
COVER BURR HOLE 17MM TI MATRIX NEURO F/SHUNT,485.93
COVER BURR HOLE 24MM TI MATRIX NEURO,485.93
COVER BURR HOLE 24MM TI MATRIX NEURO F/SHUNT,485.93
CPT HYBRID PACK,344.66
CPT PACK ARTHROSCOPY,310.32
CPT PACK AV GRAFT,226.53
CPT PACK BARIATRIC  (1 EA/CA),580.05
CPT PACK CAROTID FEM POP,337.01
CPT PACK COLPOPEXY,312.39
CPT PACK CRANIOTOMY,593.96
CPT PACK CT CARDIOTHORACIC,739.04
CPT PACK EAR,409.91
CPT PACK HIP ORIF,305.91
CPT PACK LOWER EXTREMITY,308.84
CPT PACK MAJOR VASCULAR,397.31
CPT PACK NEURO LAMINECTOMY,346.14
CPT PACK ORTHO LAMINECTOMY,379.26
CPT PACK ROBOTICS   (1 EA/CA),952.74
CPT PACK TOTAL KNEE,505.17
CPT PACK UPPER EXTREMITY,259.83
CRANIAL ACCESS  KIT,1186.02
CRANIAL CUSTOM PEEK LARGE,25000
CRANIAL MEDPOR PTERIONAL LEFT SZ 44X43X6MM,2148.13
CRANIAL MEDPOR PTERIONAL RIGHT SZ 44X43X6MM,4680
C-REAMER 10 MM X 7 IN SHORT-HEAD,306
CRESCENT HOOK  6MM X 25MM,832.5
C-RING 6MM CERVICAL ALLOCRAFT,3950.4
C-RING ALLOCRAFT CERIVAL 5MM,3950.4
CROSS CONNECTOR HYBRID SMALL 24MM,2100
CROSSLINK CONNECTOR LARGE 60MM TRANSVERSE,2100
CROSSLINK CONNECTOR OASYS MEDIUM,2100
CROSSLINK CONNECTOR SMALL 40MM TRANSVERSE,2100
CROSSLINK EXPEDIUM FA SFX,1750
CROSSLINK EXPEDIUM SFX SIZE-F8,1750
CROSSLINK EXPEDIUM SS SFX 5.5 MED SIZE-A4,1750
CROSSLINK EXPEDIUM SS SFX 5.5 MED SIZE-A6,1750
CROSSLINK EXPEDIUM TI SFX 5.5 LAT SIZE-A1,1750
CROSSLINK EXPEDIUM TI SFX 5.5 LAT SIZE-A2,1750
CROSSLINK EXPEDIUM TI SFX 5.5 LAT SIZE-A3,1750
CROSSLINK EXPEDIUM TI SFX 5.5 MED SIZE-A4,1750
CROSSLINK EXPEDIUM TI SFX 5.5 MED SIZE-A5,1750
CROSSLINK EXPEDIUM TI SFX 5.5 MED SIZE-A6,1750
CROSSLINK EXPEDIUM TI SFX 5.5 MED SIZE-F6,1750
CROSSLINK EXPEDIUM TI SFX 5.5 MED SIZE-F7,1750
CROSSLINK XIA3 CONNECTOR MA 33-44MM,2100
CRT-D GENERATOR UNIFY 40,43960
CRT-D INOGEN,43960
CRT-D IS-1 DF4 COMPATIBLE,43960
CRUCIFORM SCREWDRIVER BLADE WITH HOLDING SLEEVE 1.5/2.0MM,2357.24
CT CLOSURE SYSTEM CARTER THOMPSON,493.77
CUFF QUICK ANGHOR PLUS DS,1727.5
CUFF WITH IZ 3.5CM,13000.75
CUP ACETAB REGENEREX RINGLOC SZ 24MM,8910.15
CUP HIP MOD 52MM CLUSTER-HOLE SHELL,3425
CUP HIP MOD 56MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 58MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 60MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 62MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 64MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 68MM MULTI-HOLE SHELL REVISION,3425
CUP HIP MOD 70MM MULTI-HOLE SHELL REVISION,3425
CUP M2A MAGNUM PF50MM 0.0 X 44MM 1.0,12020
CUP WASHER,177.38
CURETTE 6.5MM WEDGE KYPHX LATITUDE,708.75
CURETTE KYPHX LATITUDE II 6.5MM,789.75
CURETTE KYPHX LATITUDE II 8.0MM,708.75
CURETTE KYPHX LATITUDE II 8.5MM WEDGE TIP,789.75
CURETTE KYPHX SIZE 2,2205.23
CURETTE T TIP 8.0MM KYPHX LATITUDE II,789.75
CUSA EXCEL CEM NOSECONE 36KHZ,1088.52
CUSTOM FEMORAL COMPONENT TIVANIUM SZ E LEFT,24750
CUSTOM HIP ACETABULAR COMPONENT TRIFLANGED RINGLOC,25500
CUSTOM HIP RT TRIFLANGE SZ-24,25500
CUSTOM HIP TRIFLANGE HERNANDEZ SZ 25 HA,29250
CUSTOM HIP TRIFLANGE LEFT SZ 24,27750
CUSTOM HIP TRIFLANGE WEISS 54MM X SZ 24,25500
CUSTOM PATIENT KORTHOGNATHIC KIT W/ ONE SPLINT TEMPLATE,10858.1
CUSTOM PATIENT ORTHOGNATHIC KIT SPLINT,4345.11
CUTTER ECHELON FLEX 45 POWERED COMPACT ENDOSCOPIC LINEAR,1300.24
CUTTER ECHELON FLEX 45 POWERED LONG ENDOSCOPIC LINEAR,1300.25
CUTTER ECHELON FLEX 60 POWERED COMPACT ENDOSCOPIC LINEAR,1560.29
CUTTER ENDOPATH LINEAR ART 45MM W/O RELOAD,1268.91
CUTTER ENDOPATH LINEAR ART 60MM W/O RELOAD,1395.53
CUTTER FLIP 10MM,1282.5
CUTTER FLIP 7MM,1462.5
CUTTER FLIP 8MM,1462.5
CUTTER LINEAR  55MM BLUE,334.76
CUTTER LINEAR  75MM RELOAD BLUE,266.42
CUTTER LINEAR 55MM GREEN,350.76
CUTTER LINEAR ARTICULATING  ENDOSCOPIC,1726.02
CUTTER LINEAR CUTTER 75MM GREEN,544.1
CUTTER LINEAR ECHELON 60 X 340MM LONG,1395.53
CUTTER LINEAR ENDO PEDI ARTICULATING,1085.81
CUTTER POWERED LINEAR ECHELON 60 X 440MM,1560.28
CUTTER PROXIMATE LINEAR,499.59
CUTTER PROXIMATE LINEAR 100MM W/ SAFTY LOCK,763.08
CUTTER PROXIMATE LINEAR 100MM W/SAFETY,763.08
CUTTER PROZIMATE LINEAR W/SAFETY LOCK OUT 100MM,814.96
CUTTER RELOAD PROXIMATE LINEAR BLUE 10MM,405.45
CYMETRA  SYRINGE 2CC,695
CYTAL  WOUND MATRIX 6-LAYER 10X15CM,11050
CYTAL  WOUND MATRIX 6-LAYER 5X5 CM,2868.75
CYTAL  WOUND MATRIX 6-LAYER 7X10CM,6438.75
CYTAL WOUND MATRIX SHEET 3 LAYER,4834.38
DALL MILES TROCHANTERIC GRIP PLATE W/2 CABLES,0
DALL MILES TROVHANTERIC GRIP PLATE W/2 CABLES,0
DALL-MILES BEADED CABLE AND SLEEVE SET 2.00 MM,680.63
DALL-MILES TROCHANTERIC GRIP PLATE W/ 2 CABLE LG,3781.13
DALL-MILES TROCHANTERIC GRIP PLATE W/2 CABLES,2344.5
DALL-MILES TROCHANTERIC GRIP PLATE W/2 CABLES SIZE M 150MM,3054.38
DALL-MILES TROCHANTERIC GRIP PLATE W/2 CABLES SZ M 200MM,3781.13
DART CHONDRAL  1.3 MM X 18MM,302.5
DBM BOAT BIO 10CM LONG,8796.88
DBS PATIENT CHARGING SYSTEM,5675
DBS PATIENT PROGRAMMER,4477.5
DBS WRENCH AND SCREWS,270
DEFLECTABLE BIOPSY BRUSH 3 FR,493.79
DEFLUX NEEDLE 3.7F X 23GA X 350MM,280.44
DEIVCE ABLATION UTERINE NOVASURE 6MM,5913
DEVICE ABLATION CARDIOBLATE MAPS,10350
DEVICE ABLATION UTERINE NOVASURE,5475
DEVICE ANTI SIPHON,1998.68
DEVICE INFLATION BALLOON SINUS,335.48
DEVICE MEASURING DHS DCS 200MM,456.57
DEVICE OSTEO KYPHX ONE STEP BEVEL,1620
DEVICE TROCHANTERIC REATTACHMENT TITANIUM STERILE,5484.83
DEVICE TROCHANTERIC REATTACHMENT TITANIUM STERILE,3806.18
DIALATOR TISSUE PATHFINDER NXT RADIOLUCENT,596.25
DIALYSIS CATH POWER-TRIALYSIS KIT SHORT-TERM STRAIGHT 13FR X 15CM,387.5
DIALYSIS CATH POWER-TRIALYSIS TRAY SHORT-TERM STRAIGHT 13FR X 15CM,498.25
DILATOR  SOFT TISSUE,596.25
DILATOR DISPOSIBLE 9-12MM (2-PK),902.7
DILATOR JCDS-14-EDS-HC,607.5
DILATOR JCDS-1618-EDS-HC,810
DILATOR RADIOLUCENT,573.75
DILATOR RENAL SET AMPLATZ 6-30FR,1184.63
DILATOR TAP 26MM,810
DIRECT INJECT ON-DEMAND CEMENT 10CC,7997.5
DIRECT INJECT ON-DEMAND CEMENT 5CC,4247.5
DIS FEM REPLCEMNT COMPNT SZ XX-SM RT,15463.93
DISC CERVICAL MOBI-C  STD 15 X19,16750
DISC CERVICAL STD 15 X15,16750
DISC CERVICAL STD 15 X17,16750
DISCOGRAM MONITOR UNIT DISPOSAIBLE,810
DISPOSABLE KIT HIP  Q FIX 1.8MM,895.5
DISPOSABLES BULLDOGS,258.3
DISPOSABLES NEUROVISION M5 XLIF,2691
DISPOSIBLE KIT FOR 4.5 X 14MM ANCHOR,787.5
DISSECTOR ENDOSCOPIC GASTRIC BAND,960.62
DISTAL FEMERAL OSTECHONDRAL GRAFT MEDIAL RIGHT,21195
DISTAL POSTERIOR MEDIAL HUMERUS PLATE RIGHT,2056.05
DISTAL RADIUS FIXATOR KIT 220MM ROD W/SCREW,5484.83
DISTAL REAMER CANNULATED 20MM,1223.51
DISTAL STEM RESTO MOD HIP SYSTEM 18MM X 15MM,6052.5
DISTAL STEM RESTRO MOD HIP SYSTEM 155MM X 15MM,6052.5
DISTAL STEM RETRO MOD  HIP 15MM X 16MM,6052.5
DISTAL STEM RETRO MOD HIP STEM 195MM X 14MM,6409.13
DISTAL STEM RETRO MOD HIP SZ- 23MM +0 V40,8447.63
DISTAL STEM RETRO MODULAR HIP SYSTEM 19MM X 155MM,8447.63
DISTAL TAPPERED STEM RECLAIMED 17MMX190MM,7750
DISTL FEM REPLCMNT COMPNT LT SZ XX-SM,0
DISTL FEM REPLCMNT COMPNT SZ XSM LEFT,15463.93
D-M CABLE 2.0MM,680.63
D-M CABLE/SLEEVE SET 2.0MM SS,680.63
D-M CABLE/SLEEVE SET 2.0MM SS BEADED,1225.13
DRAIN BLAKE 10FR FLAT FLUTED,293.18
DRAIN BLAKE19FR HUBLESS ROUND 1/4 BENDABLE TROCAR,347.71
DRAPE ISOLATION W/IRRIGATION POUCH,237.19
DRAPE NAVIGATIONAL CRANIOTOMY,318.94
DRAPE PEDIATRIC 3-PIECE SHUNT,269.87
DRESSING NASAL MEROGEL,414
DRESSING V.A.C. GRANUFOAM LARGE (SENSAT.R.A.C.),233.91
DRILL  3.0 X 300MM AO STRL WHT F FCC,719.28
DRILL  5.0MM DISTAL,652.5
DRILL  5.0MM FEMORAL,990
DRILL  BIT CANNULATED 2.0MM,729
DRILL  CANNULATED 2.0MM,1482.57
DRILL  FLUTED 4.0 MM,597.65
DRILL  QUICK CONECT CANNULATED 2.7MM,1905.75
DRILL 1.5MM,540
DRILL 1.7MM,567
DRILL 10 G,225
DRILL 2 X 360MM AO,464.13
DRILL 2.0,729
DRILL 2.0,1125
DRILL 2.0 VARIAX2,585.63
DRILL 2.0MM X 5 IN QR,270
DRILL 2.3,675
DRILL 2.5,652.5
DRILL 2.5 X 180MM Q/C,339.08
DRILL 2.5MM,333
DRILL 2.6 SPPED GUIDE DRILL,729
DRILL 2.7 MM SHORT,274.23
DRILL 2.7MM,333
DRILL 2.8 SONIC ANCHOR,1250
DRILL 2.8MM X 5 IN QR,270
DRILL 2.9MM/150MM QUICK COUPLING,318.06
DRILL 25MM,270
DRILL 3.2MM CANNULATED,963
DRILL 3.2MM X 280 MM,346.5
DRILL 3.2MMX30MM QUICK CONNECT,751.5
DRILL 3.5MM X 5 IN QR,270
DRILL 4.2 X 300MM AO SMALL STRL GRN,736.29
DRILL 4MM,517.5
DRILL 5.6,932.85
DRILL ACUTRAK-2 LONG,954
DRILL ACUTRAK-2 MINI LONG,949.5
DRILL ACUTRAK-2 MINI PROFILE,855
DRILL ACUTRAK-2 STANDARD,855
DRILL AO 2.0MM SINGLE USE,665.82
DRILL BIT,1327.5
DRILL BIT,895.5
DRILL BIT,0
DRILL BIT,610.47
DRILL BIT,324
DRILL BIT,1125
DRILL BIT,427.5
DRILL BIT  1.1MM X 110MM,620.73
DRILL BIT  1.1MM X 6MM,620.73
DRILL BIT  1.5 X 110 MM STRYKER,620.73
DRILL BIT  1.5 X 110 MM STRYKER J-LATCH,620.73
DRILL BIT  1.5 X 110 MM UNIV HALL COUPLING,620.73
DRILL BIT  1.8,255.2
