Generic Item Name,National Drug Code, Charge 
BUPIVACAINE 0.5% (50 mL) MDV INJ,409161050,$0.45 
bupivacaine 0.5% PF 10 mL (MARCAINE Eqv),409156010,$1.70 
bupivacaine 0.5% SOLN,55150025050,$22.50 
BUPIVACAINE 0.75% (10 mL) INJ PF (Marcaine (EQV)),55150017110,$0.93 
BUPIVACAINE 0.75% INJ PF (30 mL) (Marcaine (EQV)),409116502,$0.59 
BUPIVACAINE 0.75%-D8.25% preservative-free INJ,409361301,$5.62 
bupivacaine liposome 1.3% (266 mg/20 mL) SUSP,65250026620,"$1,417.50 "
BUPIVACAINE-EPINEPHRINE 0.25%-1:200000 50 mL INJ (Marcaine w Epi (EQV)),409904301,$0.54 
BUPIVACAINE-EPINEPHRINE 0.25%-1:200000 INJ 50ml (Marcaine w Epi (EQV)),409175250,$0.91 
BUPIVACAINE-EPINEPHRINE 0.25%-1:200000 INJ PF 30ml  (Marcaine w Epi (EQV)),409904202,$0.44 
BUPIVACAINE-EPINEPHRINE 0.5%-1:200000  INJ PF (Marcaine w Epi PF(EQV)),409174929,$0.68 
BUPIVACAINE-EPINEPHRINE 0.5%-1:200000 INJ 30ml PF (Marcaine w Epi (EQV)),409904502,$0.37 
BUPIVACAINE-EPINEPHRINE 0.5%-1:200000 INJ 50 mL (Marcaine w Epi (EQV)) MDV,409904522,$0.31 
Bupivacaine-Fentanyl 0.125%-10 mcg/mL SOLN (EPIPAIN),61553022248,$0.45 
Bupivacaine-Fentanyl 0.125%-2 mcg/mL EPIDURAL Soln (EpiOB),61553012448,$0.45 
Buprenorphine-Naloxone 8 mg-2 mg TAB (Suboxone),62756097083,$33.57 
buprenorphine-naloxone SL 2 mg-0.5 mg TAB,54018813,$14.09 
buPROPion 100 mg (Wellbutrin SR (EQV)),93550101,$10.45 
buPROPion 100 mg TAB (Wellbutrin (EQV)),378043505,$3.21 
buPROPion 150 mg (Wellbutrin SR (EQV)),591083960,$6.71 
buPROPion 150 mg/24 hours ERT (Wellbutrin XL (NF)Eqv),378200877,$6.48 
buPROPion 37.5 mg (1/2 of 75 mg) TAB,378043301,$2.41 
buPROPion 50 mg (1/2 of 100 mg) TAB,378043501,$3.21 
buPROPion 75 mg TAB (Wellbutrin (EQV)),60505015801,$2.66 
busPIRone 1.25 mg (1/4 of 5 mg) TAB,63739031910,$1.00 
busPIRone 10 mg TAB (Buspar (EQV)),378115001,$1.28 
busPIRone 2.5 mg (1/2 of 5 mg) TAB,58177026404,$1.11 
busPIRone 5 mg TAB (Buspar (EQV)),68084002801,$1.00 
BUSULFAN 2 mg TAB (Myleran),173071325,$17.74 
BUTORPHANOL 2 mg/mL SOLN (Stadol (EQV)),409162649,$6.30 
CABAZitaxel 60 mg/6 mL SOLN (Jevtana),24582411,"$6,190.20 "
cabergoline 0.5 mg TAB (Dostinex)(NF),93542088,$134.86 
caffeine citrate 20 mg/mL INJ,55390035703,$67.67 
caffeine citrate 20 mg/mL ORAL Liq,574015210,$59.68 
caffeine-ergotamine 100 mg-2 mg SUPP (Cafergot (EQV)),713016612,$198.24 
CALAMINE Topical 8% Lotion,904253300,$0.05 
CALAMINE-PRAMOXINE TOPICAL 8%-1% LOTION (Caladryl EQV)),58232073001,$0.11 
CALAMINE-ZINC OXIDE Topical Dressing (Unna Boot),10356010302,$36.99 
CALCIPOTRIENE topical 0.005% CREAM (Dovonex),430302015,$20.07 
CALCITONIN 200 intl units/inh SPRAY (Miacalcin (EQV)),60505082306,$99.26 
CALCITONIN 400 intl units/2mL INJ (Miacalcin (EQV)),78014923,"$4,471.58 "
CALCITRIOL 0.25 mcg CAP (Rocaltrol),23155011801,$4.80 
CALCIUM ACETATE 667 mg (Phoslo),54008826,$1.15 
CALCIUM CARBONATE 1250 mg TAB (Oscal 500 (EQV)),54812025,$1.00 
CALCIUM CARBONATE 1250 mg/5 mL SUSP,54811616,$0.45 
CALCIUM CARBONATE 420 mg TAB CHEWABLE (Titralac (EQV)),21200076591,$1.00 
CALCIUM CARBONATE 500 mg TAB CHEWABLE (Tums (EQV)),37205021047,$1.00 
CALCIUM CARBONATE 625 mg (1/2 of 1250 mg) TAB,54412025,$1.00 
CALCIUM CARBONATE/VITAMIN D 250 mg-125 units TAB,904188260,$1.00 
CALCIUM CHLORIDE 1 gm/10 ml Syringe,409163110,$2.39 
CALCIUM CHLORIDE 100 mg/mL 10 mL SOLN,517271025,$1.61 
CALCIUM CITRATE 200 mg ELEMENTAL CALCIUM TAB,904506260,$1.00 
calcium FOLINATE 10 mg/mL Inj,703279701,$2.84 
CALCIUM GLUBIONATE 360 mg/ mL Oral Syrup (Neo-Calglucon (EQV)),536277085,$0.13 
CALCIUM GLUCONATE 100 mg/mL INJ,517391025,$0.35 
CALCIUM GLUCONATE 50 mg/mL INJ (SCN/PEDS),63323031111,$1.08 
CALCIUM GLUCONATE 500 mg TAB,54026225,$1.00 
CALCIUM GLUCONATE topical 2.5% GEL,57606030334,$4.50 
CANDESARTAN 16 mg TAB (Atacand),186001628,$11.46 
CANDESARTAN 4 mg TAB (Atacand),186000431,$14.54 
CANDIDA ALBICANS extract - Solution,49643013801,$585.00 
CAPSAICIN topical 0.025%  CREAM (Zostrix (EQV)),603064888,$0.27 
CAPSAICIN topical 0.075% Cream (Zostrix-HP (EQV)),182512952,$0.64 
CAPTOPRIL 12.5 mg TAB (Capoten (EQV)),49884079301,$6.48 
CAPTOPRIL 25 mg TAB (Capoten (EQV)),378301201,$4.88 
CAPTOPRIL 3.125 mg (1/4 of 12.5 mg) TAB,781182801,$1.00 
CAPTOPRIL 50 mg TAB (Capoten (EQV)),378301701,$8.48 
CAPTOPRIL 6.25 mg (1/2 of 12.5 mg) TAB,49884061901,$1.00 
CARBAMAZEPINE 100 mg ER (Tegretol XR (EQV)),51672412301,$4.49 
CARBAMAZEPINE 100 mg TAB CHEWABLE (Tegretol (EQV)),904385461,$1.00 
CARBAMAZEPINE 100 mg/5 mL SUSP (Tegretol (EQV)),68094021459,$1.71 
CARBAMAZEPINE 200 mg ER (Tegretol XR (EQV)),68084056121,$8.55 
CARBAMAZEPINE 200 mg TAB (Tegretol (EQV)),904617261,$4.44 
CARBAMIDE PEROXIDE Oral 10% LIQ (GlyOxide (EQV)),904406203,$0.32 
CARBAMIDE PEROXIDE OTIC 6.5% SOLN,904322035,$0.50 
carbidopa/entacapone/levodopa 12.5 mg-200 mg-50 mg TAB(Stalevo 50),378830001,$13.50 
carbidopa/entacapone/levodopa 18.75 mg-200 mg-75 mg TAB(Stalevo 75),47335000288,$15.34 
carbidopa/entacapone/levodopa 25 mg-200 mg-100 mg TAB(Stalevo 100),378830201,$14.89 
carbidopa/entacapone/levodopa 31.25 mg-200 mg-125 mg TAB(Stalevo 125),47335000488,$15.34 
carbidopa/entacapone/levodopa 37.5 mg-200 mg-150 mg TAB(Stalevo 150),47335000588,$15.16 
carbidopa/entacapone/levodopa 50 mg-200 mg-200 mg TAB(Stalevo 200),378830501,$14.89 
CARBIDOPA-LEVODOPA 10 mg-100 mg TAB (Sinemet 10-100 (EQV)),228253810,$1.28 
CARBIDOPA-LEVODOPA 12.5 mg-125 mg (1/2 of 25 mg-250 mg) TAB,93029499,$1.58 
CARBIDOPA-LEVODOPA 12.5 mg-50 mg TAB...,904623761,$1.00 
CARBIDOPA-LEVODOPA 25 mg-100 mg TAB (Sinemet 25-100 (EQV)),228253910,$1.60 
CARBIDOPA-LEVODOPA 25 mg-250 mg TAB (Sinemet 25-250 (EQV)),904623861,$1.11 
CARBIDOPA-LEVODOPA CR 25 mg-100 mg TAB (Sinemet CR 25-100 (EQV)),68084028101,$1.40 
CARBIDOPA-LEVODOPA CR 50 mg-200 mg TAB (Sinemet CR 50-200 (EQV)),16729007901,$6.28 
CARBOplatin 10 mg/mL SOLN,703324911,$3.15 
CARBOPROST 250 mcg/mL INJ (Hemabate),9085608,"$1,114.20 "
Cardioplegia DELINDO Solution,66647012001,$216.00 
cardioplegia HIGH potassium Solution,40000000100,$0.36 
cardioplegia LOW potassium Solution,40000400002,$0.36 
cardioplegia REPERFUSATE Solution,40000400020,$0.36 
carfilzomib inj (Kyprolis) 60 mg,76075010101,"$7,600.50 "
CARISOPRODOL 350 mg TAB,100,$1.58 
CARMUSTINE 3.3 mg/mL mg INJ,15301238,$792.99 
CARMUSTINE 7.7 mg WAFER (Gliadel),61379010001,"$12,714.70 "
carvedilol 1.5625 mg (1/2 of 3.125 mg) TAB,378363101,$1.00 
carvedilol 12.5 mg TAB (Coreg (EQV)),68084026301,$1.00 
carvedilol 3.125 mg TAB (Coreg (EQV)),68462016201,$1.00 
carvedilol 6.25 mg TAB (Coreg (EQV)),68084026201,$1.00 
caspofungin 50 mg PWDI (Cancidas),6382210,"$1,671.66 "
caspofungin 70 mg PWDI (Cancidas),6382310,"$1,736.87 "
CAVILON no sting barrier Spray 28 mL,8333334601,$1.60 
CEFACLOR 250 mg CAP (Ceclor (EQV)),61442017130,$8.19 
CEFADROXIL 500 mg CAP (Duricef(EQV)),6818018008,$7.56 
ceFAZolin 1 gm INJ,60505074905,$10.35 
ceFAZolin 1 gm/100 mL NS AddEase (Ancef (EQV)),63323023710,$7.89 
ceFAZolin 100 mg/mL (SCN/PEDS) Inj,30505609305,$4.50 
ceFAZolin 100 mg/mL INJ (Ancef (EQV)),61553001272,$0.54 
ceFAZolin 100 mg/mL SYRINGE,781933795,$1.04 
ceFAZolin 2 gm/100 mL NS AddEase (Ancef (EQV)),61553021648,$0.32 
ceFAZolin 2 gm/20 mL Syringe,61553001473,$0.54 
ceFAZolin 3 gm/30 mL Syringe,264310510,$0.54 
ceFAZolin 500 mg INJ (Ancef (EQV)),63323023610,$12.85 
ceFAZolin Subconjunctival INJ 500 mg/2.5 mL,35,$9.00 
ceFAZolin+MetroNIDAZOLE 1 gm/500 mg/100mL NSS(Ancef/Flagyl (EQV)),1123456,$0.68 
cefDINIR 125 mg/5 mL oral susp (Omnicef(Eqv)),781607761,$3.77 
cefDINIR 300 mg CAP(Omnicef (Eqv)),781217660,$8.10 
CEFEPIME 1 gm INJ,63323032620,$28.78 
CEFEPIME 1 gm/100 mL NS IVPB (Maxipime (EQV)),338130141,$0.29 
cefepime 100 mg/mL (PEDS) Inj,60505603004,$0.12 
cefepime 2 gm (AddVantage) in 100 mL NSS,51479005520,$157.72 
CEFEPIME 2 gm INJ,60505068100,$157.32 
CEFEPIME 2 gm/100 mL NS IVPB (Maxipime (EQV)),338130148,$0.50 
cefepime 280 mg/mL (SCN/PEDS) Inj,781322396,$50.28 
cefepime 40 mg/mL (SCN) Inj,781322295,$7.20 
cefoTAXime 1 gm INJ,39001810,$45.00 
cefoTAXime 100 mg/mL (SCN/PEDS) Inj,143993125,$9.41 
cefoTAXime 100 mg/mL INJ,39003705,$4.50 
cefoTAXime 2 gm INJ,39001950,$75.12 
Cefotaxime 300 mg/ml (SCN/PEDS) IM,143993004,$45.00 
cefoTAXime 50 mg/mL (PEDS) inj (Claforan(Eqv)),40000000002,$2.25 
cefoTAXime 500 mg INJ,143993003,$7.80 
ceFOXitin 1 gm/100 mL NS AddEase (Mefoxin (EQV)),63323034125,$22.50 
cefOXitin 2 g/50 mL SOLN (Mefoxin (EQV)),264312511,$74.52 
ceFOXitin 2 gm INJ (Mefoxin(EQV)),60505076005,$108.95 
ceFOXitin 2 gm/100 mL NS AddEase (Mefoxin (EQV)),63323034220,$45.00 
cefOXitin 40 mg/mL (SCN/PEDS) Inj,63323034225,$0.45 
CEFPROZIL 250 mg/5 mL Oral Susp (Cefzil (EQV)),68820001915,$2.86 
ceftaroline 400 mg PWDI inj,456040010,$653.00 
ceftaroline 600 mg Add-Ease inj,456060010,$653.00 
cefTAZidime 1 gm PWDI,173037835,$58.68 
CEFTAZIDIME 1 gm/100 mL NS AddEase (Fortaz (EQV)),173041200,$0.25 
cefTAZidime 2 gm PWDI Vial,173037934,$122.35 
CEFTAZIDIME 2 gm/100 mL NS AddEase (Fortaz (EQV)),173041300,$0.50 
cefTAZidime IntraVitreal 2 mg/0.1 mL 10 mL,173037710,$1.35 
cefTAZidime Ophthalmic drops 1 mg/mL 25 mL,173037701,$0.41 
ceftolozane-tazobactam 1 g-0.5 g PWDI (ZERBAXA (EQV)),67919003001,$431.19 
cefTRIAXone 1 g PWDI (Rocephin  (EQV)),60505075204,$17.17 
cefTRIAXone 1 g/10 mL,409733201,$18.00 
cefTRIAXone 1 gm/50 mL IVPB (Rocephin (EQV)) ER ONLY,264315311,$58.73 
cefTRIAXone 1 gm/50 mL NS AddEase (Rocephin (EQV)),00409733201A,$14.78 
cefTRIAXone 100 mg/mL INJ,4200278,$1.08 
cefTRIAXone 2 g/20 mL,25021010720,$36.00 
cefTRIAXone 2 gm/100 mL NS AddEase (Rocephin (EQV)),60505075304,$29.43 
cefTRIAXone 250 mg PWDI (Rocephin (EQV)),60505075004,$9.13 
CefTRIAXone 40 mg/mL (SCN/PEDS) Inj,338500241,$2.25 
cefTRIAXone 500 mg PWDI (Rocephin (EQV)),10019068602,$120.96 
ceFUROXime  250 mg TAB (Ceftin (EQV)),58016011460,$15.53 
ceFUROXime 1.5 g/100ml NSS AddEase (Zinacef (EQV)),143956725,$20.25 
ceFUROXime 1.5 gm INJ (Zinacef (EQV)),25021011920,$26.92 
ceFUROXime 100 mg/mL,173042400,$0.11 
ceFUROXime 100 mg/mL (SCN/PEDS) INJ,173042499,$0.11 
ceFUROXime 125 mg/5 mL Oral Susp (Ceftin (EQV)),173074000,$5.99 
ceFUROXime 50 mg/mL (PEDS) inj,264311211,$2.25 
ceFUROXime 500 mg TAB (Ceftin (EQV)),57237005920,$7.83 
ceFUROXime 750 mg INJ (Zinacef (EQV),63323035210,$20.79 
ceFUROXime 750 mg/100 mL NSS AddEase (Zinacef (EQV)),10019062001,$27.90 
CELECOXIB 100 mg CAP (Celebrex),25152031,$21.56 
CELECOXIB 200 mg CAP (Celebrex),25152534,$45.30 
CEPACOL Sore Throat LOZ each,30,$0.63 
CEPACOL Sore Throat loz(8 PACK),77,$0.63 
CEPASTAT LOZ (Sugar Free) 8 PACK,63736021918,$0.63 
CEPASTAT LOZ (Sugar Free) each,247027209,$0.63 
cephalexin 250 mg CAP (Keflex (EQV)),60687015201,$1.61 
cephalexin 250 mg/5 mL Oral susp.(Keflex (EQV)),63304095901,$0.59 
cephalexin 500 mg CAP (Keflex (EQV)),65862001901,$0.89 
cetirizine 1 mg/mL Oral Solution,51991083704,$0.15 
cetirizine 10 mg TAB (Zyrtec(EQV)),904585261,$1.00 
cetirizine 5 mg TAB (Zyrtec (EQV)),781168301,$1.00 
CEtuximab 2 mg/mL INJ (Erbitux),66733094823,$44.55 
CHARCOAL 25 g SUSPENSION,574012104,$0.58 
CHARCOAL-SORBITOL 25 g SUSPENSION,574012004,$0.59 
CHLORAL HYDRATE 500 mg/5 mL ORAL SYR,121053205,$0.50 
CHLORAMBUCIL 2 mg TAB (Leukeran),173063535,$15.35 
CHLORAMPHENICOL 1 g PWDI,63323001115,$193.09 
chloramphenicol 100 mg/mL (SCN/PEDS) INJ,61570040571,$12.83 
CHLORDIAZEPOXIDE 10 mg CAP (Librium (EQV)),555003302,$0.36 
CHLORDIAZEPOXIDE 25 mg CAP (Librium (EQV)),555015902,$0.41 
CHLORDIAZEPOXIDE 5 mg CAP (Librium (EQV)),51079037420,$1.14 
CHLORHEXIDINE Oral Rinse 0.12% LIQ (Peridex Oral rinse (EQV)),50383072016,$0.04 
chlorhexidine topical 2% PAD,53462070525,$14.37 
CHLORHEXIDINE topical 4% Soln (Hibiclens (EQV)),52380127204,$0.22 
CHLOROPROCAINE 2% MPF (Nesacaine-MPF),186099166,$5.27 
CHLOROPROCAINE 3% MPF INJ (Nesacaine MPF),186099266,$5.54 
CHLOROQUINE 500 mg TAB (Aralen (EQV)),24008401,$29.16 
Chlorothiazide 25 mg/ml (PEDS) Inj,63323065699,$4.50 
CHLOROTHIAZIDE 250 mg/5 mL SUSP (Diuril (EQV)),6323966,$0.23 
chlorproMAZINE 10 mg TAB (Thorazine (EQV),51079051820,$19.89 
chlorproMAZINE 25 mg TAB (Thorazine (EQV),51079051920,$31.26 
chlorproMAZINE 25 mg/mL INJ (Thorazine (EQV)),641139735,$95.26 
chlorproMAZINE 50 mg TAB (Thorazine (EQV),51079013020,$45.23 
chlorthalidone 12.5 mg (1/2 OF 25 mg) TAB,378022210,$3.47 
CHLORTHALIDONE 25 mg TAB (Hygroton (EQV)),60687031725,$9.50 
cholecalciferol 1000 units TAB (Vitamin D-3),904582460,$1.00 
cholecalciferol 2000 units TAB (Vitamin D-3),904615760,$1.00 
cholecalciferol 400 units/0.1 mL (SCN/PEDS) LIQ,735910370,$0.08 
CHOLESTYRAMINE 4 gm PWDR (Questran (EQV)),49884046566,$1.25 
CHOLINE & MAGNESIUM  salicylate 250 mg (1/2 of 500 mg) TAB,50111052899,$1.04 
cidofovir 375 mg/5 mL INJ,23155021631,$416.48 
cilostazol 100 mg TAB (Pletal (EQV)),60505252201,$1.90 
cilostazol 50 mg TAB (Pletal (EQV)),93206506,$1.43 
CIMETIDINE 400 mg TAB (Tagamet (EQV)),51079080820,$3.15 
CINACALCET 30 mg TAB (SENSIPAR),55513007330,$123.26 
CINACALCET 60 mg TAB (SENSIPAR),55513007430,$246.51 
CINACALCET 90 mg TAB (SENSIPAR),55513007530,$369.77 
Ciprofloxacin 2 mg/mL (PEDS) IVPB,409477750,$9.95 
CIPROFLOXACIN 200 mg/100 mL PREMIX IV (Cipro (EQV)),85175502,$0.08 
CIPROFLOXACIN 250 mg TAB (Cipro (EQV)),68084006901,$1.36 
CIPROFLOXACIN 400 mg/200ml PREMIX IV (CIPRO (EQV)),409477702,$0.05 
CIPROFLOXACIN 400 mg/40mL INJ (CIPRO (EQV)),85173101,$2.70 
CIPROFLOXACIN 500 mg TAB (Cipro (EQV)),68084007001,$1.57 
CIPROFLOXACIN 750 mg TAB (CIPRO (EQV)),68084007101,$2.11 
CIPROFLOXACIN OPH.  0.3% SOLN (CIPRO (EQV)),65065625,$44.06 
CIPROFLOXACIN OPH. 0.3% OINT (CIPRO (EQV)),65065435,$173.05 
CISATRACURIUM 2 mg/mL VIAL (Nimbex),74438010,$9.14 
CISplatin 1 mg/mL SOLN,63323010351,$0.77 
citalopram 10 mg TAB (Celexa (EQV)),65862000501,$1.00 
citalopram 20 mg TAB (Celexa (EQV)),456402001,$34.01 
citalopram 5 mg (1/2 of 10 mg) TAB,57664050788,$1.06 
Citric Acid/Potassium Citrate/Sodium Citrate Oral Liq 334 mg-550 mg-500 mg/5 mL (Polycitra (EQV)),575022301,$0.16 
citric acid-sodium citrate 1 mEq/mL (SCN) Oral SOLN,121059516,$40.77 
CLADRIBINE 1 mg/mL SOLN,55390011501,$77.72 
CLARITHROMYCIN 250 mg TAB (BIAXIN),74336811,$23.39 
CLARITHROMYCIN 250 mg/5 mL Oral Susp (Biaxin (EQV)),68774030329,$3.40 
CLARITHROMYCIN 500 mg TAB (Biaxin (EQV)),65862022660,$17.74 
clindamycin 10 mg/mL (SCN/PEDS) INJ ,409405001,$6.68 
clindamycin 150 mg CAP (Cleocin (EQV)),65862018501,$0.95 
clindamycin 150 mg/10 mL oral solution (Cleocin (EQV)),9076004,$4.57 
clindamycin 30 mg/mL INJ (Cleocin (EQV)),9338101,$2.25 
clindamycin 300 mg/2mL INJ (Cleocin (EQV)),9087026,$8.76 
clindamycin 300 mg/50 mL NSS SOLN,409405303,$0.26 
clindamycin 300 mg/D5W 50 mL IVPB (Cleocin (EQV)),9338102,$1.03 
clindamycin 600  mg/4 mL INJ (Cleocin (EQV)),9072809,$6.51 
clindamycin 600 mg/50 mL NSS SOLN,409405403,$0.29 
clindamycin 600 mg/D5W 50 mL IVPB (Cleocin (EQV)),9337502,$1.57 
clindamycin 900 mg/50 mL NSS SOLN,409405503,$0.32 
clindamycin 900 mg/6mL INJ (Cleocin (EQV)),9090218,$4.05 
clindamycin 900 mg/D5W 50 mL IVPB (Cleocin (EQV)),9338202,$1.92 
clindamycin vaginal 2% CREAM (Cleocin (EQV)),168027740,$12.78 
CLOBETASOL TOPICAL 0.05% CREAM (Temovate(EQV)),50383026715,$33.54 
clofarabine 1 mg/mL SOLN,58468010001,$583.34 
clonazePAM 0.25 mg (1/2 of 0.5 mg) TAB,49884030702,$4.50 
clonazePAM 0.5 mg TAB (Klonopin (EQV)),63739026303,$1.32 
clonazePAM 1 mg TAB (Klonopin (EQV)),93083301,$2.30 
cloNIDine 0.025 mg (1/4 of 0.1 mg) TAB,90009099009,$4.50 
cloNIDine 0.05 mg (1/2 of 0.1 mg) TAB,904102560,$1.00 
cloNIDine 0.1 mg TAB (Catapres (EQV)),228212710,$1.00 
cloNIDine 0.1 mg/24 hr PATCH (Catapres TTS-1),597003112,$87.37 
cloNIDine 0.2 mg TAB (Catapres EQV)),67253026410,$1.00 
cloNIDine 0.2 mg/24 hr PATCH (Catapress TTS-2),597003212,$161.80 
cloNIDine 0.3 mg/24 hr PATCH (Catapres TTS-3),597003334,$570.12 
cloNIDine 10 mcg/mL ORAL Susp(SCN),87777777777,$4.50 
clopidogrel 300 mg TAB (Plavix (EQV)),63653133202,$116.01 
clopidogrel 37.5 mg (1/2 of 75 mg) TAB,63653117104,$11.88 
clopidogrel 75 mg TAB (Plavix (EQV)),16729021815,$1.00 
CLORAZEPATE 1.875 mg (1/2 of 3.75 mg),378004001,$6.27 
CLORAZEPATE 3.75 mg TAB,378003001,$4.48 
clotrimazole 1% VAG CREAM w APPLICATOR (Gyne-Lotrimin (EQV)),472022063,$0.50 
clotrimazole 10 mg Troche,574010777,$5.61 
clotrimazole TOPICAL 1% CREAM (Lotrimin (EQV)),168013315,$4.44 
clotrimazole topical 1% SOLN (Lotrimin-AF (EQV)),93024843,$9.28 
CLOZAPINE 100 mg TAB (Clozaril (EQV)),378086001,$12.38 
CLOZAPINE 12.5 mg (1/2 of 25 mg) TAB,51079092199,$5.59 
CLOZAPINE 25 mg TAB (Clozaril (EQV)),93435901,$4.37 
CLOZAPINE 6.25 mg (1/4 of 25 mg) TAB,51079092188,$5.58 
COAGULATION FACTOR IX Recombinant PWDI (Benefix (EQV)),58394000101,$3.96 
Coagulation Factor VIIa 1000 mcg/mL (SCN) Injectable,169701001,$8.10 
COAGULATION FACTOR VIIa 5000 mcg (5 mg) PWDI (Factor 7a),169705001,$5.49 
cobicistat 150 mg TAB,61958140101,$30.96 
COCAINE Topical 4% SOLN,527172874,$207.96 
CODEINE SULFATE 15 mg TAB,54815524,$1.37 
CODEINE SULFATE 30 mg TAB,54815624,$1.64 
COLCHICINE 0.6 mg Tablet,591094401,$22.73 
colistimethate 150 mg INJ (Colistin (EQV),39822061501,$0.25 
COLISTIN/HYDROCORTISONE/NEOMYCIN OTIC 0.3%-1%-0.33%-0.05% SUSP (Colymycin S Otic (EQV)),42023010801,$27.72 
collagenase topical 250 units/gm OINT (Santyl EQV)),64501015,$50.40 
complement C1 esterase inhibitor 500 units KIT(Berinert),63833082502,"$6,876.00 "
Conjugated ESTROGENS 0.3 mg TAB (Premarin),46086881,$6.75 
Conjugated ESTROGENS 0.625 mg TAB (Premarin (EQV)),46086781,$5.04 
Conjugated ESTROGENS 0.625 mg/g VAG CREAM w App (Premarin),46087221,$47.34 
Conjugated ESTROGENS 1.25 mg TAB (Premarin),46086699,$5.81 
Conjugated ESTROGENS 25 mg INJ (Premarin),46074905,$391.50 
copper - DEV,51285020401,"$3,638.25 "
COSYNTROPIN 0.25 mg PWDI (Cortrosyn (EQV)),548590000,$337.50 
CROMOLYN 20 mg/2mL INHALATION SOLN (Intal EQV))  NEB,172640649,$6.57 
CROMOLYN NASAL 5.2 mg/inh SPRAY (Nasalcrom (EQV)),57782039726,$1.51 
cyanocobalamin 100 mcg TAB (Vitamin B-12),904113213,$1.00 
cyanocobalamin 1000 mcg TAB (Vitamin B-12),10135065201,$1.00 
cyanocobalamin 1000 mcg/mL INJ (Vitamin B-12),517003125,$34.68 
CYCLOBENZAPRINE 10 mg TAB (Flexeril (EQV)),65162054110,$1.00 
CYCLOBENZAPRINE 5 mg TAB (Flexeril (EQV)),31722028201,$1.00 
CYCLOPENTOLATE OPH 1% SOLN (Cyclogyl (EQV)),65039605,$9.00 
CYCLOPENTOLATE OPH 2% SOLN (Cyclogyl (EQV)),65039705,$9.00 
cyclopentolate-phenylephrine ophth. 0.2%-1% SOLN(Cyclomydril),65035902,$5.31 
cyclophosphamide 20 mg/mL INJ,15054841,"$4,590.00 "
cyclophosphamide 25 mg TAB (Cytoxan (EQV)),54412925,$10.93 
cyclophosphamide 50 mg TAB (Cytoxan (EQV)),54413025,$10.80 
cyclophosphamide 500 mg INJ (Cytoxan (EQV)),15050241,$62.91 
cyclophosphamide 500 mg INJ***,10019095501,"$1,924.20 "
cycloSPORINE 100 mg CAP (Sandimmune),68084092125,$46.19 
cycloSPORINE 100 mg/mL SOLN (Sandimmune (EQV)),78011022,$56.34 
cycloSPORINE 2.5 mg/mL (PEDS) Inj,574086610,$93.24 
cycloSPORINE 25 mg CAP (Sandimmune),60505013300,$11.40 
cycloSPORINE 50 mg/mL INJ (Sandimmune),78010901,$45.23 
cycloSPORINE MICROEMULSION 100 mg CAP (Neoral (EQV)),591222315,$22.85 
cycloSPORINE MICROEMULSION 100 mg/mL LIQ (Neoral (EQV)),74726950,$35.58 
cycloSPORINE MICROEMULSION 25 mg CAP (Neoral (EQV)),50111090943,$5.22 
cycloSPORINE OPH. 0.05% EMUL (Restasis),23916330,$32.00 
CYPROHEPTADINE 4 mg TAB (PERIACTIN (EQV)),51991083801,$3.23 
CYTARABINE  (2 gram vial)  PWDI (Cytarabine),55390080901,$373.50 
CYTARABINE 100 mg/mL (1 g vial) PWDI (Cytarabine),55390080801,$193.50 
CYTARABINE 100 mg/mL (100 mg vial) PWDI (Cytarabine),55390080610,$15.48 
CYTARABINE-PF 25 mg/mL INJ (INTRATHECAL),61703030538,$952.88 
DABIGATRAN 150 mg CAP(Pradaxa),597013560,$16.70 
DABIGATRAN 75 mg CAP(Pradaxa),597010766,$16.71 
DACARBAZINE (200 mg vial) PWDI (DTIC (EQV)),63323012812,$0.90 
DACARBAZINE 100 mg PWDI (DTIC (EQV)),63323012710,$9.00 
DACLIZUMAB 5 mg/mL SOLN (Zenapax),4050109,$446.90 
DACTINOMYCIN 0.5 mg PWDI,67386081155,"$5,026.50 "
DALFOPRISTIN-QUINUPRISTIN 350 mg-150 mg INJ (Synercid),61570026010,"$1,317.14 "
DANAZOL 200 mg CAP,555063502,$31.12 
DANTROLENE 20 mg INJ (Dantrium),149073402,$438.76 
DANTROLENE 25 mg CAP (DANTRIUM ),149003005,$4.73 
DAPSONE 100 mg TAB,49938010130,$12.60 
DAPSONE 25 mg TAB,49938010230,$10.27 
DAPTOMYCIN 500 mg INJ (Cubicin),67919001101,"$1,182.51 "
Daratumumab 20 mg/mL (Darzalex),57894050220,$402.98 
darbepoetin 100 mcg/0.5 mL INJ (Aranesp),55513004104,"$4,401.54 "
darbepoetin 100 mcg/0.5 mL INJ (Aranesp) ESRD,55513004101,"$2,475.00 "
darbepoetin 150 mcg/0.3 mL INJ (Aranesp),55513002704,"$16,758.00 "
darbepoetin 150 mcg/0.3 mL INJ (Aranesp) ESRD,55513004304,"$10,296.00 "
darbepoetin 200 mcg/0.4 mL INJ (Aranesp),55513004401,"$11,025.00 "
darbepoetin 25 mcg/0.42 mL INJ (Aranesp),55513000204,$837.90 
darbepoetin 25 mcg/0.42 mL INJ (Aranesp) ESRD,55513005704,"$1,995.00 "
darbepoetin 300 mcg/0.6 mL INJ (Aranesp),55513004601,"$6,592.50 "
