FIM DESCRIPTION,LH PRICE
APP SHT ARM SPLT DYNAM LT,290
APPL LONG ARM SPLT LT,290
APPL LONG ARM SPLT LT,290
APPL LONG ARM SPLT RT,290
APPL LONG ARM SPLT RT,290
APPL SHORT ARM SPLT LT,605
APPL SHORT ARM SPLT LT,290
APPL SHORT ARM SPLT RT,605
APPL SHORT ARM SPLT RT,290
APPLY MULTILAYER B/L,664
APPLY MULTILAYER LEG LEFT,332
APPLY MULTILAYER LEG RIGHT,332
APPSHT ARM SPLT DYNAM RT,290
APTT,23.52
AQUAPHERESIS FILTER,4050
AQUAPORIN-4 ANTIBODY (IGG)  CBA,44.04
ARC ABID EA CELL<3,137.84
ARC ABID EA CELL>3,137.84
ARC IND EA AB TITER,202.37
ARSENIC EXPOSURE PROFILE  URINE,75.57
ARTER REAL TIME LOWER LT,1017
ARTER REAL TIME UPPER BIL,1502
ARTER REAL TIME UPPER LT,1017
ARTER REAL TIME UPPER LT,1017
ARTER REAL TIME UPPER RT,1017
ARTER REAL TIME UPPER RT,1017
ARTERIAL CLOSURE DEVICE,500
ARTERIAL PUNCTURE,70
ARTERIAL REAL TIME LOW BIL,1502
ARTERIAL REAL TIME LOWER RT,1017
ARTHROGRAM ELBOW LEFT COM,1405
ARTHROGRAM ELBOW RIGHT COM,1405
ARTHROGRAM HIP LEFT COMPL,1405
ARTHROGRAM HIP LEFT COMPL,1405
ARTHROGRAM HIP RIGHT COMP,1405
ARTHROGRAM HIP RIGHT COMPL,1405
ARTHROGRAM KNEE LEFT,1405
ARTHROGRAM KNEE RIGHT,1405
ARTHROGRAM SHOULDER LEFT,1405
ARTHROGRAM SHOULDER RIGHT,1405
ARTHROGRAM WRIST LEFT,1405
ARTHROGRAM WRIST RIGHT,1405
ASHKENAZI JEWISH PANEL,117.38
ASO,22.52
ASP &/OR INJ OF LG JOINT,737
ASP BREAST 1ST CYST,1738
ASP BREAST EA ADD CYST,725
ASP/INJ LG JOINT/BURSA W/IMAGE,850
ASP/INJ MED JOINT/BURSA W/IMAGE,850
ASP/INJ SM JOINT/BURSA W/IMAGE,850
ASP/INJECTION GANGLION CYST,850
ASPERGILLUS AB (1OF3),25.88
ASPERGILLUS AB 2 OF 3 IGG,25.88
ASPERGILLUS AB 3 OF 3 IGM,25.88
ASPERGILLUS ANTIBODY,25.88
ASPERGILLUS ANTIGEN,71.4
ASPIR CYST BREAST EA ADDL LT,725
ASPIR CYST BREAST EA ADDL RT,725
ASPIR CYST BREAST INIT LT,1738
ASPIR CYST BREAST INIT RT,1738
ASPIRATE PLEURA W/ IMAGING,3185
ASSAY GLUCOSE BLOOD QUANT 4OF10,5
ASSAY NEPHELOMETRY EA ANLYT 7OF10,23.26
ASSAY OF AMMONIA,56.8
ASSAY OF AMMONIA,56.8
ASSAY OF APOLIPOPROTEIN EACH,57.3
ASSAY OF CALCIUM IN URINE,23.52
ASSAY OF CALCIUM IN URINE,23.52
ASSAY OF CITRATE,102.84
ASSAY OF CITRATE,102.84
ASSAY OF GGT 5OF10,5
ASSAY OF LDH ENZYMES,54.6
ASSAY OF LEAD,47.29
ASSAY OF LEAD,47.29
ASSAY OF MAGNESIUM,26.27
ASSAY OF MAGNESIUM,26.27
ASSAY OF MERCURY,63.06
ASSAY OF OXALATE,50.29
ASSAY OF OXALATE,50.29
ASSAY OF PRIMIDONE,65.81
ASSAY OF PROSTAGLNDIN EACH,104.42
ASSAY OF RENIN 2OF2,85.58
ASSAY OF TRIGLYCERIDES 10OF10,5
ASSAY OF URINE CHLORIDE,19.52
ASSAY OF URINE CREATININE,20.27
ASSAY OF URINE CREATININE,20.27
ASSAY OF URINE CREATININE,20.27
ASSAY OF URINE CREATININE,20.27
ASSAY OF URINE CREATININE,20.27
ASSAY OF URINE CREATININE 2OF2,20.27
ASSAY OF URINE OSMOLALITY,26.52
ASSAY OF URINE PHOSPHORUS URINE,19.52
ASSAY OF URINE PHOSPHORUS URINE,19.52
ASSAY OF URINE POTASSIUM,16.76
ASSAY OF URINE POTASSIUM,16.76
ASSAY OF URINE SODIUM,19.02
ASSAY OF URINE SODIUM,19.02
ASSAY OF URINE SULFATE,17.77
ASSAY OF URINE SULFATE,17.77
ASSAY OF URINE/URIC ACID,11.26
ASSAY OF URINE/URIC ACID,11.26
ASSIST TECH ASSESS EA 15 MIN,205
ASSIST TECH ASSESS EA 15 MIN,205
AST,5
ATTEN CURRENT STATUS,0.01
ATTEN D/C STATUS,0.01
ATTEN GOAL STATUS,0.01
ATYPICAL P-ANCA TITER WBC AB ID,28.78
AUTO BLD COUNT AND DIFF,27.52
AUTO WHOLE BLOOD NOT TX'D,358
AUTOLOGOUS WHOLE BLOOD,594
AUTOMATED RBC COUNT,12.09
AUTOMATED RBC COUNT,12.09
B CELLS  TOTAL COUNT,125.11
B PERTUSSIA PCR 2 OF 2,121.36
B PERTUSSIS  NASOPHAR CULTURE,33.53
B. HENSELAE IGG TITER,17.49
B. HENSELAE IGM TITER,17.49
BABESIA MICROTI ANTIBODY PANEL,57.05
BACTERIAL VAGINOSIS,102.31
BACTERIUM ANTIBODY,22.14
BALLOON CATH ANGIOPLASTY LEVEL 1,850
BALLOON CATH ANGIOPLASTY LEVEL 11,1850
BALLOON CATH ANGIOPLASTY LEVEL 19,2650
BALLOON CATH ANGIOPLASTY LEVEL 2,950
BALLOON CATH ANGIOPLASTY LEVEL 3,1050
BALLOON CATH ANGIOPLASTY LEVEL 4,1150
BARIUM ENEMA W AIR CONT LTD,643
BARIUM ENEMA W/O AIR,1492
BARIUM ENEMA W/WO KUB LTD,395
BARIUM ENEMA-AIR,1712
BARTONELLA HENSELEA IGG1OF2W/RFLX,17.49
BARTONELLA HENSELEA IGM2OF2W/RFLX,17.49
BASIC FORENSIC EXAM,160
BASIC METABOLIC PANEL,29.28
BCR/ABL1 GENE MINOR BP,493.97
BCR-ABL1 CML/ALL PCR QUANT,135.46
BEHAVRAL QUALIT ANALYS VOICE,348
BEHAVRAL QUALIT ANALYS VOICE,348
BETA 2 GLYCOPROTEIN AB IGG,43.71
BETA 2 GLYCOPROTEIN AB/2,43.71
BETA GLYCOPROTEIN AB IGM,43.71
BETA HCG TUMOR MARKER,81.57
BETA STREPT SCREEN,22.27
BETA-2 TRANSFERRIN,111.85
BETA-2-MICROGLOBULINS,63.06
B-HYDROXYBUTYRATE,26.6
BILE ACIDS FRACTIONATED LCMS,62.56
BILIRUBIN TOTAL,17.27
BILIRUBIN TOTAL 2 OF 6,17.27
BILIRUBIN TOTAL 2OF10,17.27
BIOFEEDBACK PT,260
BIOFEEDBACK PT/1,260
BIOPSY PROSTATE,397
BIOPSY SOFT TISSUE LEG/ANKLE RT,2751
BIOPSY-SINGLE SKIN LESION,643
BIOTINIDASE,58.3
BI-PAP/CPAP 1ST DAY,2000
BK VIRUS DNA QUANT,73.6
BK VIRUS QUALITATIVE PCR,121.36
BLASTOMYCES AB,99.09
BLEEDING TIME,17.27
BLOOD ANTIGEN TYPE EA-DONOR,83.81
BLOOD COUNT  HEMATOCRIT (HCT),7.51
BLOOD COUNT HEMATOCRIT (HCT),7.51
BLOOD COUNT HGB,7.51
BLOOD CULTURE,40.29
BLOOD GLUCOSE POC TEST,20
BLOOD GLUCOSE POC TEST,20
BLOOD GLUCOSE TEST,20
BLOOD PARASITE SMEAR,23.52
BLOOD TRANSFUSION,981
BLOOD TRANSFUSION,981
BLOOD TYPE RBC AG-PATIENT,83.81
BLOOD UREA NITROGEN QUANT,5
BLOOD/BODY FLUID EXPOSURE PANEL,35.78
BODY FLD CULT&GM STAIN 2,17.52
BODY FLD-1OF2,33.53
BODY FLUID PH LEVEL,9.26
BODY POS CURRENT STATUS,0.01
BODY POS CURRENT STATUS,0.01
BODY POS D/C STATUS,0.01
BODY POS D/C STATUS,0.01
BODY POS GOAL STATUS,0.01
BODY POS GOAL STATUS,0.01
BONE AGE,415
BONE LENGTH,196
BONE MARROW CULTURE,33.53
BONE MARROW LTD AREA,2284
BONE MARROW SCAN MULTIPLE,2164
BONE MARROW SCAN WHOLE BO,2438
BONE SCAN (SPECT),4241
BONE SCAN 3 PHASE,3313
BONE SCAN LTD AREA,1001.44
BONE SCAN MULT AREAS,3040
BONE SCAN WHOLE BODY,2929
BONE WHOLE BODY MOD 52 LIMITED,1155
BORDETELLA PERTUSSIS IGG/M/A AB,85.58
BOWEL IMAGING-MECKELS SCA,1729
BRACE  KNEE POST-OP,907.74
BRAF GENE,266
BRAIN (SPECT),5117
BRAIN IMAGE < 4 VIEWS,2841
BRAIN IMAGE VASCULAR FLOW,640
BRAIN IMAGE W/FLOW < 4 VW,3582
BRAIN IMAGING MIN 4 VIEWS,2841
BRAIN IMG MIN 4 VWS W/FLO,3582
BRONCH W/ALVEOLAR LAVAGE,2518
BRONCH W/BRUSHINGS,2518
BRONCHOSCOPY DIAG W CELL WASHINGS,3400
BRONCHOSCOPY STUD W/BIOPS,1772
BRONCHOSCOPY THERAPEUTIC INITIAL,3400
BRONCHOSCOPY THERAPEUTIC SUBSQNT,3400
BRONCHOSPAM PROVOC EVAL,975
BULLOUS PEMPHIGOID BP180 ANTIBODY,48.04
BULLOUS PEMPHIGOID BP230 ANTIBODY,48.04
BUPRENORPHINE  URINE,48.79
BX CULT (2 OF 2) GRAM STAIN,17.52
BX LIVER NEEDLE PERC,1277.12
C KIT MUTATION ANALYSIS,395
C REACTIVE PROTEIN,20.27
C TELOPEPTIDE SERUM,37.53
C1 ESTERASE INHIBITOR  FUNCTIONAL,42.54
C1 ESTERASE INHIBITOR PROTEIN,42.54
CA 15-3,81.57
CA 19-9,81.57
CA 27/29,81.57
CA125,81.57
CAFFEINE,48.79
CALCITONIN,104.34
CALCIUM IONIZED,53.3
CALCIUM SERUM TOTAL,5
CALCULI URINARY,48.9
CALCULUS INFRARED SPECTROSCOPY,79.6
CALPROTECTIN,67.45
CALR MUTATION ANALYSIS,84
CALRETICULIN,375.4
CANALITH REPOSITION PX PER DAY,173
CANALITH REPOSITION PX PER DAY,173
C-ANCA TITER WBC ANTBDY ID,28.78
CANCELED PX PRIOR TO PX ROOM,250
CANCELLED PROCEDURE PRIOR TO OR,250
CANDIDA 6 SPECIES PROFILE NAA,121.36
CANDIDA ALBICANS AB ID,20.63
CANDIDA ALBICANS AB ID/1,20.63
CANDIDA ALBICANS AB ID/2,20.63
CANDIDA DNA AMP PROBE,121.36
CANDIDA VAGINOSIS,121.36
CANDIDA VAGINOSIS,121.36
CAPD - IP,2862
CAPILLARY BLOOD COLLECTION,13
CAPILLARY BLOOD COLLECTION,13
CAPILLARY COLLECT CHARGE (ER),13
CARBAMAZEPINE FREE,38.03
CARBAMAZEPINE TOTAL,56.8
CARBOXYHEMOGLOBIN QNT,17.27
CARD REHAB W/CONT EKG MONITOR/SES,168
CARD REHAB W/O EKG MONITOR/SES,135
CARDIAC BL POOL 1ST PASS,1654
CARDIAC BNP,118.68
CARDIAC MUGA SINGLE,1993
CARDIAC REHAB PHASE 3,6.28
CARDIAC REHAB PHASE 3 1/2 MTH,7.5
CARDIAC SHUNT DETECTION,2908
CARDIAC TROPONIN QUANT,30.03
CARDIO CRP,44.76
CARDIOLIPIN ABS (1OF3),43.71
CARDIOLIPIN(2OF3) IGM,43.71
CARDIOLIPIN(3OF3) IGA,43.71
CARDIOLITE,510
CARDIOLITE TC99M SESTAMI TO 40MCI,510
CARDIOLITE UP TP 40 MCI,510
CARNITINES EVALUATION,58.3
CAROTENE,15.85
CAROTID IMAGING BILATERAL,1502
CARPAL TUNNEL FENESTRATION,1638
CARRY CURRENT STATUS,0.01
CARRY CURRENT STATUS,0.01
CARRY D/C STATUS,0.01
CARRY D/C STATUS,0.01
CARRY GOAL STATUS,0.01
CARRY GOAL STATUS,0.01
CAST RIGID TOT CONTCT LEG LT,825
CAST RIGID TOT CONTCT LEG RT,825
CAT ABDOMEN COMBINED/2,2360
CAT ABDOMEN W/O CONTRAST,1950
CAT ABDOMEN WITH CONTRAST/1,2110
CAT CERVICAL SPINE COMBIN,4238
CAT CERVICAL SPINE W/CONT,3827
CAT CERVICAL SPINE W/O CO,3292
CAT HEAD COMBINED,3233
CAT HEAD CT ANGIO,2373
CAT HEAD W/O CONTRAST,2101
CAT HEAD WITH CONTRAST,2796
CAT LOW EXT CT ANGIO LT,2373
CAT LOW EXT CT ANGIO RT,2373
CAT LOWER EXT COMBINE LT,4238
CAT LOWER EXT COMBINE RT,4238
CAT LOWER EXT W/CON LEFT,3834
CAT LOWER EXT W/CON RIGHT,3834
CAT LOWER EXT W/O CON LT,3538
CAT LOWER EXT W/O CON RT,3538
CAT LUMBAR SPINE COMBINED,4238
CAT LUMBAR SPINE W/CONTRA,3827
CAT LUMBAR SPINE W/O CONT,3341
CAT MAXILLOFACIAL COMBINE,4598
CAT MAXILLOFACIAL W/CONTR,4076
CAT MAXILLOFACIAL W/O CON,3160
CAT NECK CT ANGIO W CONTRAST,2373
CAT NEEDLE PLACEMENT S&I,2373
CAT PELVIS COMBINED/1,2800
CAT PELVIS CT ANGIO,1725
CAT PELVIS W/ CONTRAST,2535
CAT PELVIS W/O CONTRAST,2340
CAT RX PLANNING,487
CAT SOFT TISSUE NECK COMB,4238
CAT SOFT TISSUE NECK W/CO,3827
CAT SOFT TISSUE NECK W/O,3535
CAT THORACIC SPINE COMBIN,4238
CAT THORACIC SPINE W/CONT,3836
CAT THORACIC SPINE W/O CO,3292
CAT THORAX COMBINED/1,4238
CAT THORAX WITH CONTRAST,3834
CAT UP EXT CT ANGIO LT,2373
CAT UP EXT CT ANGIO RT,2373
CAT UPPER EXT LT W/CONTR,3834
CAT UPPER EXT LT W/O CONT,3538
CAT UPPER EXT RT W/CONTR,3834
CAT UPPER EXT RT W/O CONT,3538
CATECHOLAMINE FRAC 24HR U,97.09
CATH FALLOP S & I,4400
CATHETER CHANGE,911
CATHETER TIP CULT,33.53
CATHETERIZE FOR URINE SPECIMEN,13.5
CBC WITH MANUAL DIFFERENTIAL,18.2
CBC(NO DIFFERENTIAL),25.02
CD MARKERS (3OF3),175.16
C-DIFFICLE TOXIN AG,42
CEA,73.57
CELIAC DISEASE HLA DQ ASSOC,315.5
CELIAC PANEL 1OF3,36.28
CELL BLOCK BIOPSY,150.13
CENTROMERE ANTIBODY,65.56
CENTROMERE ANTIBODY,47.04
CERETEC UP TO 25MCI,992
CERULOPLASMIN,41.79
CERV SP 1 VIEW ETC/OR,514
CERVICAL SPINE RECONSTRUCTION,3292
CFTR GENE COM VARIANTS SCREEN,2034
CHEM CAUTER OF GRAN TISSUE,643
CHEMO ADMIN IV INF 1HR>16-60MIN,721
CHEMO ADMIN IV INF 1HR>16-60MIN,721
CHEMO ADMIN IV INF ADD HR,250
CHEMO ADMIN IV INF ADD HR,250
CHEMO ADMIN VIA CNS W SPINAL PUNC,808
CHEMO IM/SQ INJ,301
CHEMO IV PUSH SNGL DRUG,721
CHEMO IV PUSH SNGL DRUG,721
CHEST 1 VIEW PA OR AP,204
CHEST 2 VIEW,332
CHEST MIN 4 VIEWS,685
CHEST SNGL VIEW PORTABLE,204
CHEST XRAY SPECIAL VIEW (1V),385
CHEST-2 VU + APICAL (3V),494
CHLAMYDIA ANTIBODY,15.01
CHLAMYDIA IGM ANTIBODY,21.8
CHLAMYDIA PNEUMONIAE(IGG/M),15.01
CHLAMYDIA TRACHOMATIS AB IGM,21.8
CHLAMYDIA TRACHOMATIS CULTURE,66.81
CHLORIDE BLOOD,5
CHOLANG POST-OP S&I,1545
CHOLANGIOGRAM  OR,1995
CHOLESTEROL SERUM,5
CHOLESTEROL SERUM 3OF10,5
CHOLETEC-PER DOSE,21
CHOLINESTERASE  SERUM,33.6
CHRMSM CNT ADD CELL CNT EA STUDY,62
CHROMIUM  URINE,23.02
CHROMIUM BLOOD,23.02
CHROMIUM SERUM,5
CHROMOGRANIN A,81.57
CHROMOSOME ANALYSIS  TISSUE 1OF2,551.24
CHROMOSOME ANALYSIS 15-20 CELLS,407
CHROMOSOME ANALYSIS 20-25 CELLS,351.17
CHROMOSOME ANALYSIS COUNT 5 CELLS,580
CHROMOSOME ANLYS 15-20CELLS 2OF2,407
CHROMOSOME ANLYS BLOOD NO GRWTH,359.55
CHROMOSOME BLOOD 1OF2,359.55
CHROMOSOME BLOOD 2OF2,407
CHROMOSOME BM 1OF3,491.94
CHROMOSOME BM 2OF3,351.17
CHROMOSOME EA KARO 3OF3,97.84
CHROMOSOME KARYOTYPE STUDY,97.84
CHYMOTRYPSIN FECAL,32.2
CHYMOTRYPSIN STOOL,25.52
CISTERNOGRAM,4156
CITRIC ACID (CITRATE)  URINE,102.84
CK ISOENZYMES ELECTROPHERIS 2OF2,51.3
CK ISOENZYMES TOTAL 1OF2,5
CK TOTAL,5
CK-MB,25.27
CLAVICLE LEFT,734
CLAVICLE RIGHT,734
CLOMIPRAMINE  SERUM,48.79
CLONAZEPAM (KLONOPIN(R)) SERUM,200
CLOZARIL,72.31
CMPLX RPR S/A/L 2.6-7.5 CM,3655
CMPLX RPR S/A/L EA ADD 5 CM,3655
CMV ABS IGG/IGM,54.55
CMV ANTIBODY IGM,59.8
CMV PCR,121.36
CMV QUANT DNA PCR (PLASMA),148.13
CO2,5
COBALT SERUM/PLASMA,138
COBALT WHOLE BLOOD,138
COCCIDIODES TOTAL ANTIBODIES,55.05
COENZYME Q10,48.79
COGNITIVE REMEDIATION 1-1,147
COGNITIVE TEST BY HC PRO,0.01
COGNITIVE TRAIN EA 15 MIN,147
COGNITIVE TRAIN EA 15 MIN,147
COGNITIVE TRAIN EA 15MIN MOD 59,147
COLD AGGLUTININS TITER,28.53
COLD PACK,50
COLD PACKS,50
COLD PACKS,50
COLLECT BLOOD FROM PERIPHERAL LNE,100
COLLECT BLOOD FROM PICC,30.74
COLLECT BLOOD FROM VAD,177
COMM/WORK REINTEG TR EA 15,100
COMM/WRK REENTER TRN EA15MINMOD59,100
COMM/WRK REINTEG TRAIN EA 15 MIN,100
COMPLEMENT C1Q  QUANTITATIVE,42.54
COMPLEMENT C3,42.54
COMPLEMENT C-4,42.54
COMPLEX REP LEG WOUND 1.1-2.5CM,2830
COMPREHENSIVE METABOLIC P,36.53
CONCURRENT IV-2 DRUGS,722
CONCURRENT IV-2 DRUGS/1LN,722
CONCURRENT IV-2DRUGS 1 LN,722
CONT MED NEB >60 MINUTES,473
CONT MED NEB EA ADD HR,34
CONT OXIMETRY FIRST DAY,630
CONT.RENAL REPLACE THER,8448
CONTINUOUS OXYGEN/DAY,54
CONTRAST BATH OT EA 15 MIN,192
CONTRAST BATH OT EA 15MIN,192
COPPER  URINE,48.04
COPPER LEVEL-SERUM,48.04
COPPER RBC,48.04
CORT STIM 1OF3 60 MIN,62.81
CORT STIM 1OF4 90 MIN,62.81
CORT STIM-2OF3,62.81
CORT STIM-3OF3,62.81
CORTISOL  FREE DIALYSIS  LCMS,68.81
CORTISOL  LC/MS/MS  SALIVA,68.81
CORTISOL AM,62.81
CORTISOL FREE 24HR URINE,68.81
CORTR STIM-2OF4,62.81
CORTR STIM-3OF4,62.81
CORTR STIM-4OF4,62.81
CORTROSYN STIM 0/60,130.2
CORTROSYN STIM 30,130.2
COVERED STENT LEVEL 1,5338
COVERED STENT LEVEL 2,6500
COVERED STENT LEVEL 3,8600
COVERED STENT LEVEL 4,5988
COXSACKIE A ANTIBODIES SERUM,22.39
COXSACKIE B ANTIBODY 1OF6,22.39
COXSACKIE B VIRUS TYPE2 (2OF6),22.39
COXSACKIE B VIRUS TYPE3 (3OF6),22.39
COXSACKIE B VIRUS TYPE4 (4OF6),22.39
COXSACKIE B VIRUS TYPE5 (5OF6),22.39
COXSACKIE B VIRUS TYPE6(6OF6),22.39
CPAP EA SUBS DAY,861
C-PEPTIDE,81.07
CPR,745
CPT INITIAL,396
CPT SUBSEQUENT,148
CREAT KINASE ISOENZYMES W/O TOTAL,51.3
CREATININE CLEARANCE,36.78
CREATININE-SERUM,5
CREUTZFELDT-JAKOB DISEASE,50.04
CRITICAL CARE ADDL 30MIN W/O PROC,2356
CROSSMATCH IS EA,163
CROSSMATCH XMISG EA,325
CRYOFIBRINOGEN,30.53
CRYOGLOBULIN,25.27
CRYOPRECIPITATE,284
CRYSTAL VIOLET,100.09
CRYTOPTOCOCCAL ANTIG,36.28
CSF CELL COUNT W/DIFF,21.52
CSF CULT (2 OF 2) GRAM STAIN,17.52
CSF CULT-1OF2,33.53
CSF GLUCOSE,13.51
CSF IGG,36.28
CSF LDH,5
CSF LEAKAGE STUDY,4156
CSF MYELIN BASIC PROTEIN,57.05
CSF PROTEINELECTRO (1OF2),5
CSF PROTEINELECTRO (2OF2),69.56
CSF SHUNT STUDY,3115
CSF TOTAL PROTEIN,5
CSF VDRL,16.76
CSF-CEREBROSPINAL FLUID CYTOLOGY,66.06
CSF-CHLORIDE,19.27
CT ABD AND PELVIS WOW,4645
CT ABD PELVIS WITH IV,4645
CT ABD PELVIS WITHOUT,4290
CT ANGIO ABD&PELV W/O&W/DYE,2614
CT ANGIO AORTA/BI RUNOFF,1443
CT ANGIO CHEST W/O & W/CO,2373
CT BASE 30 MIN SPEC EQ W ANES,6500
CT BASE 30 MIN W ANES,650
CT BASE 30 MIN WO ANES,650
CT BASE 30MIN SPEC EQ WO ANES,6500
CT CEREBRAL PERF W CONT,2101
CT COLONOGRAPH DIAG WO,1393
CT COLONOGRAPHY SCREENING,875
CT EA ADDL 15 MIN W ANES,285
CT EA ADDL 15MIN SPEC EQ W ANES,2000
CT EA ADDL 15MIN SPEC EQ WO ANES,2000
CT EA ADDL 15MIN WO ANES,285
CT GUID'D TISSUE ABLATION,1137
CT HEART STRUCT MORPH W CNTRST,1263
CT HEART WO CNTRST W EVAL&CALCIUM,212
CT L SPINE RETRO/RECON,4500
CT LIMITED OR LOCAL,1460
CT LUNG DIAGNOSTIC,3538
CT NG TRICH VAG BY NAA,121.36
CT ORB/SEL/POST/EAR FOS W,4080
CT ORB/SEL/POST/EAR FOS WO,3161
CT ORB/SEL/POST/EAR FOS WOW,4598
CT T SPINE RETRO/RECON,4500
CT THORAX LOW DOSE NODULE F/U W/O,3538
CT THORAX PE EXAM W CONTRAST,3834
CT THORAX WO,3538
CT UPPER EXT COMBINED LT,4238
CT UPPER EXT COMBINED RT,4238
CTA ABDM ANGIO W/O & W/CO,1725
CTA HEART CORN ART W CNTRST,1263
CULTURE TYPE IMMUNOFLUORESC,15.26
CYANIDE BLOOD,73.32
CYCLIC CITROLLINATED PEP,48.04
CYCLOSPORA & ISOSPORA EXAMINATION,26.02
CYCLOSPORIN A,70.31
CYSTATIN C,56
CYSTIC FIBROSIS,37.53
CYSTOGRAM MIN 3 VWS,1031
CYTO FLUID SMEAR PREP ONL,47.54
CYTOGENETICS,112.6
CYTOGENETICS 1OF2,491.94
CYTOGENETICS 2OF2,112.6
CYTOLOGY THIN PREP,81.32
CYTOMEGALOVIRUS (CMV) CULTURE,100.59
CYTOPATH FL NONGYN SMEARS,47.54
DACRYOCYSTOGRAM NASOL LT,1670
DACRYOCYSTOGRAM NASOL RT,1670
DAT  EA ANTISERA ARC,137.84
D-DIMER CSF,26.52
DEBR NAIL 1-5,241.52
DEBRIDE BONE <= 1ST 20 SQ CM,2830
DEBRIDE BONE EA ADD'L 20 SQ CM,2830
DEBRIDE MUSCLE <= 1ST 20 SQ CM,2830
DEBRIDE MUSCLE EA ADD'L 20 SQ CM,2830
DEBRIDE NON SELECT W/O ANES,183
DEBRIDE SKIN SQ <= 1ST 20 SQ CM,2830
DEBRIDE SKIN SQ EA ADD'L 20 SQ CM,2830
DECALCIFICATION,101.21
DECLOT VAD W/ THROMBOLYTIC AGENT,460
DEF ID MOLD ORG 1 2 3,38.28
DEF ID YEAST ORG 1 2 3,38.28
DEFINITIVE ID EA ORGANISM,22.27
DELTA AMINO LEVEL ACID,64.31
DENGUE VIRUS IGM,57.05
DESIPRAMINE,200
DESIPRAMINE SERUM,200
DESTRUCT SKIN LESION 0.6-1.0CM,690
DESTRUCT SKIN LESION 1.1-2.0CM,690
DESTRUCT SKIN LESION 2.1-3.0CM,645
DESTRUCT SKIN LESION 3.1-4.0CM,645
DETECT AGENT NOS DNA AMP,121.36
DEVELOPMENTAL TESTING,352
DEVELOPMENTAL TESTING,352
DEVELOPMENTAL TESTING EXT,704
DEVELOPMENTAL TESTING EXT,704
DEXA AXIAL SKELETON,502
DEXA PERIPHERAL,308
DFA RESP VIRAL ANTIGENS ADENOVIRU,38.03
DHEA,98.59
DHEA S,79.07
DIAB EDUC GRP PER 30 MIN,85
DIAB EDUC INDIV PER 30MIN,110
DIFF ABS/ EA CELL ARC,150
DIFFUSING CAPACITY,766
DIGITAL BI DX MAM INCL CAD2D,497
DIGITAL BIL SCRNG MAMMO INCL CAD,497
DIGITAL BREAST TOMO DIAG UNI/BIL,126
DIGITAL BREAST TOMO SCREEN,126
DIGITAL LT SCRNG MAMMO INCL CAD2D,497
DIGITAL RT SCRNG MAMMO INCL CAD2D,497
DIGITAL UNI MAMMO INCL CAD LT 2D,426
DIGITAL UNI MAMMO INCL CAD RT 2D,426
DIGOXIN,51.8
DIHYDROTESTOSTERONE,200
DILANTIN TOTAL,50.8
DILATE BILE DUCT COMPLETE,5664
DILATION NEPHROSTOMY/URET,2933
DILUTE RUSSELL VIPER VENOM TIME,33.28
DILUTION OF SERUM ARC,83.81
DIPHTHERIA ANTITOXOID AB,50.04
DIR AGT EA ANTISERUM,137.84
DIRECT BILIRUBIN,17.27
DIRECT LDL CHOLESTEROL,32.03
DIRECT PLATELET ANTIBODY,28.78
DISKOGRAPHY LUMBAR  S/I,2510.94
DMSA TC SUCCIMER UP TO 10 MCI,565
DNA ANALYSID,181.24
DNA ANAYSIS PARAFFIN,181.24
DNA AUTOABS SINGLE STRANDED DNA,45.04
DNA PLOIDY BY IMAGE ANALYSIS,92.83
DNASE B ANTIBODY,51.3
DOB STRESS TTE COMPLETE,1424
DOBUTAMINE STRESS TEST,1160
DONATH LANDSTEINER,34.28
DOP ECHO CLR FLOW VEL MAP,675
DOP ECHO W SPECTRAL DSPLY,593
DOPPLER ECHOCARDIOGR F/U,385
DOSIMETRY BASIC,575
DOXEPIN/NORDOXEPIN,200
DRAIN CATH(BIL/NEPH/ABS) LEVEL 1,250
DRAIN CATH(BIL/NEPH/ABS) LEVEL 2,350
DRAIN CATH(BIL/NEPH/ABS) LEVEL 3,450
DRAIN CATH(BIL/NEPH/ABS) LEVEL 4,550
DRAIN CATH(BIL/NEPH/ABS) LEVEL 5,9225
DRAINAGE OF SPINAL FLUID,725
DRY NEEDLING MUSCULOSKEL UNLISTPX,4722
DTPA-TC PENTETATE UP TO 25 MCI,83
DUCTOGRAM MULT LT,663
DUCTOGRAM MULT RT,663
DUPLEX CAROTIDS UNI LT,1017
DUPLEX CAROTIDS UNI RT,1017
EAR CULT & STAIN (1OF2),33.53
EAR CULT & STAIN (2 OF 2) GRAM ST,17.52
EBV ANTIBODIES (2OF2) VCA IGM,64.56
EBV ANTIBODIES 1OF2,64.56
EBV COMP (2OF4) VCA IGM,64.56
EBV COMP (3OF4) EA,46.54
EBV COMP (4OF4) EBNA,54.3
EBV COMPREHENSIVE AB PANL,64.56
ECHOCARDIOGRAPHY FETAL FU,438
ECHOVIRUS AB (1OF5),22.39
ECHOVIRUS AB TYE 9(3OF5),22.39
ECHOVIRUS AB TYPE 11(4OF5),22.39
ECHOVIRUS AB TYPE 30(5OF5),22.39
ECHOVIRUS AB TYPE 7(2OF5),22.39
EEG AWAKE AND DROWSY PORTABLE,900
EEG CEREBRAL DEATH EVAL,515
EEG COMA OR SLEEP ONLY,603
EEG EXTENDED 41-60 MIN,1736
EEG EXTENDED>60 MIN,1836
