Abington Jefferson Health,,,,
Abington Lansdale Hospital,,,,
FY18 Charges by DRG,,,,
,,,,
,,,,
MSDRG,Description,Cases,Charges,Avg Charge
671,URETHRAL PROCEDURES W CC/MCC,1,"11,188","11,188"
673,OTHER KIDNEY  URINARY TRACT PROCEDURES W MCC,7,"599,685","85,669"
674,OTHER KIDNEY  URINARY TRACT PROCEDURES W CC,4,"248,868","62,217"
682,RENAL FAILURE W MCC,66,"2,265,497","34,326"
683,RENAL FAILURE W CC,91,"2,314,236","25,431"
684,RENAL FAILURE W/O CC/MCC,21,"293,501","13,976"
687,KIDNEY  URINARY TRACT NEOPLASMS W CC,1,"8,622","8,622"
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,80,"1,979,459","24,743"
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,122,"2,239,490","18,356"
693,URINARY STONES W/O ESW LITHOTRIPSY W MCC,4,"137,322","34,331"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,25,"453,284","18,131"
695,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W MCC,1,"17,930","17,930"
696,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W/O MCC,15,"227,704","15,180"
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,33,"982,853","29,783"
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,35,"745,298","21,294"
700,OTHER KIDNEY  URINARY TRACT DIAGNOSES W/O CC/MCC,3,"41,718","13,906"
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,1,"42,994","42,994"
712,TESTES PROCEDURES W/O CC/MCC,3,"39,952","13,317"
723,MALIGNANCY MALE REPRODUCTIVE SYSTEM W CC,1,"20,067","20,067"
725,BENIGN PROSTATIC HYPERTROPHY W MCC,1,"39,808","39,808"
726,BENIGN PROSTATIC HYPERTROPHY W/O MCC,3,"32,273","10,758"
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,2,"38,803","19,402"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,7,"126,429","18,061"
738,UTERINE  ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,1,"23,973","23,973"
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,4,"121,256","30,314"
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,4,"154,342","38,585"
754,MALIGNANCY FEMALE REPRODUCTIVE SYSTEM W MCC,1,"29,138","29,138"
758,INFECTIONS FEMALE REPRODUCTIVE SYSTEM W CC,2,"52,808","26,404"
760,MENSTRUAL  OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,1,"17,241","17,241"
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,2,"25,554","12,777"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,1,"22,233","22,233"
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W MCC,5,"211,655","42,331"
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W CC,7,"116,693","16,670"
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W/O CC/MCC,4,"85,082","21,270"
811,RED BLOOD CELL DISORDERS W MCC,23,"716,560","31,155"
812,RED BLOOD CELL DISORDERS W/O MCC,41,"779,099","19,002"
813,COAGULATION DISORDERS,13,"295,735","22,749"
814,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W MCC,1,"14,435","14,435"
816,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W/O CC/MCC,3,"41,693","13,898"
821,LYMPHOMA  LEUKEMIA W MAJOR O.R. PROCEDURE W CC,1,"27,076","27,076"
823,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W MCC,2,"124,209","62,104"
824,LYMPHOMA  NON-ACUTE LEUKEMIA W OTHER PROC W CC,1,"32,449","32,449"
835,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,2,"30,845","15,422"
840,LYMPHOMA  NON-ACUTE LEUKEMIA W MCC,1,"35,189","35,189"
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC,3,"64,988","21,663"
842,LYMPHOMA  NON-ACUTE LEUKEMIA W/O CC/MCC,2,"67,418","33,709"
844,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,1,"12,968","12,968"
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,37,"3,508,554","94,826"
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC,14,"763,784","54,556"
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,3,"209,037","69,679"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,4,"107,115","26,779"
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,4,"220,779","55,195"
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,10,"204,702","20,470"
864,FEVER AND INFLAMMATORY CONDITIONS,25,"511,337","20,453"
865,VIRAL ILLNESS W MCC,2,"38,673","19,336"
866,VIRAL ILLNESS W/O MCC,10,"202,565","20,256"
868,OTHER INFECTIOUS  PARASITIC DISEASES DIAGNOSES W CC,1,"51,352","51,352"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),18,"2,424,422","134,690"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,289,"12,371,083","42,807"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,72,"1,788,727","24,843"
880,ACUTE ADJUSTMENT REACTION  PSYCHOSOCIAL DYSFUNCTION,4,"76,877","19,219"
881,DEPRESSIVE NEUROSES,1,"12,635","12,635"
883,DISORDERS OF PERSONALITY  IMPULSE CONTROL,1,"57,679","57,679"
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,7,"141,524","20,218"
885,PSYCHOSES,6,"242,158","40,360"
894,ALCOHOL/DRUG ABUSE OR DEPENDENCE LEFT AMA,1,0,0
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,1,"14,179","14,179"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,34,"691,668","20,343"
902,WOUND DEBRIDEMENTS FOR INJURIES W CC,1,"33,321","33,321"
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,1,"124,410","124,410"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,7,"260,093","37,156"
914,TRAUMATIC INJURY W/O MCC,1,"11,002","11,002"
915,ALLERGIC REACTIONS W MCC,1,"32,901","32,901"
916,ALLERGIC REACTIONS W/O MCC,6,"63,085","10,514"
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,31,"810,756","26,153"
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,36,"656,314","18,231"
919,COMPLICATIONS OF TREATMENT W MCC,2,"49,664","24,832"
920,COMPLICATIONS OF TREATMENT W CC,10,"143,034","14,303"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,2,"27,484","13,742"
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,2,"79,174","39,587"
947,SIGNS  SYMPTOMS W MCC,5,"207,392","41,478"
948,SIGNS  SYMPTOMS W/O MCC,16,"335,332","20,958"
949,AFTERCARE W CC/MCC,1,"13,462","13,462"
956,LIMB REATTACHMENT HIP  FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA,4,"225,178","56,294"
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,1,"22,378","22,378"
969,HIV W EXTENSIVE O.R. PROCEDURE W MCC,1,"85,576","85,576"
976,HIV W MAJOR RELATED CONDITION W/O CC/MCC,1,"30,361","30,361"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,3,"195,043","65,014"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,4,"190,112","47,528"
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,2,"53,100","26,550"
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,1,"86,316","86,316"
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,7,"244,250","34,893"
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,2,"48,946","24,473"
Total,,"5,864","176,763,561","30,144"
,,,,
