FIM DESCRIPTION,AMH PRICE
COMPUTERIZED DYNAMIC POSTUROGRAPH,390
CONCURRENT IV - 2 DRUGS,134
CONCURRENT IV-2 DRUGS,722
CONCURRENT IV-2 DRUGS/1LN,722
CONCURRENT IV-2DRUGS 1 LN,722
CONFIRM PREG US 1ST TRIMESTER,295
CONSULTATION SPECIALTY,68
CONT MED NEB >60 MINUTES,473
CONT MED NEB EA ADD HR,34
CONT MEDICAL W/ADD CHARGE,220
CONT OXIMETRY FIRST DAY,630
CONT.RENAL REPLACE THER,8448
CONTINUING PHYSICS CONSUL,220
CONTINUOUS OXYGEN/DAY,54
CONTRAST AGENT PERFLUTREN PER ML,154
CONTRAST BATH OT EA 15 MIN,192
CONTRAST BATH OT EA 15 MIN,192
CONTRAST BATH OT EA 15MIN,192
COOL TIP CATH ABLATION/1,4023
COOL TIP CATH ABLATION/2,6449
COPPER  URINE,48.04
COPPER LEVEL-SERUM,48.04
COPPER RBC,48.04
CORE BUILD UP,250
CORONARY STENT EA ADD LAD,27500
CORONARY STENT EA ADD LCX,27500
CORONARY STENT EA ADD LT MAIN,27500
CORONARY STENT EA ADD RAMUS,27500
CORONARY STENT EA ADD RCA,27500
CORONARY STENT SINGLE LAD,27500
CORONARY STENT SINGLE LCX,27500
CORONARY STENT SINGLE LT MAIN,27500
CORONARY STENT SINGLE RAMUS,27500
CORONARY STENT SINGLE RCA,27500
CORONARY THROMBOLYSIS-INT,4759
CORONARY W/ ART/GRAFT ANGIO S&I,12825
CORONARY W/OUT AV CROSS OVER,12825
CORT STIM 1OF3 60 MIN,62.81
CORT STIM 1OF4 90 MIN,62.81
CORT STIM-2OF3,62.81
CORT STIM-3OF3,62.81
CORTISOL  FREE DIALYSIS  LCMS,68.81
CORTISOL  LC/MS/MS  SALIVA,68.81
CORTISOL AM,62.81
CORTISOL FREE 24HR URINE,68.81
CORTR STIM-2OF4,62.81
CORTR STIM-3OF4,62.81
CORTR STIM-4OF4,62.81
CORTROSYN STIM 0/60,130.2
CORTROSYN STIM 30,130.2
COVERED STENT LEVEL 1,5338
COVERED STENT LEVEL 2,6500
COVERED STENT LEVEL 3,8600
COVERED STENT LEVEL 4,5988
COXSACKIE A ANTIBODIES SERUM,22.39
COXSACKIE B ANTIBODY 1OF6,22.39
COXSACKIE B VIRUS TYPE2 (2OF6),22.39
COXSACKIE B VIRUS TYPE3 (3OF6),22.39
COXSACKIE B VIRUS TYPE4 (4OF6),22.39
COXSACKIE B VIRUS TYPE5 (5OF6),22.39
COXSACKIE B VIRUS TYPE6(6OF6),22.39
CPAP EA SUBS DAY,861
C-PEPTIDE,81.07
CPR,745
CPR,745
CPT INITIAL,396
CPT SUBSEQUENT,148
CREAT KINASE ISOENZYMES W/O TOTAL,51.3
CREATININE CLEARANCE,36.78
CREATININE-SERUM,5
CREUTZFELDT-JAKOB DISEASE,50.04
CRITICAL CARE ADDL 30MIN W/O PROC,2356
CROSSMATCH IS EA,163
CROSSMATCH XMISG EA,325
CROUPETTE FIRST DAY,369
CROUPETTE SUBSEQ DAY,93
CROWN - FULL CAST HIGH,1010
CROWN ABT PORC METAL,1010
CROWN LENGTHENING-HD TISS,500
CROWN PNT PORC METAL,1010
CROWN PORC,1010
CROWN PORC BASE METAL,1010
CROWN PORC METAL,1010
CRYOFIBRINOGEN,30.53
CRYOGLOBULIN,25.27
CRYOPRECIPITATE,284
CRYSTAL VIOLET,100.09
CRYTOPTOCOCCAL ANTIG,36.28
CSF CELL COUNT W/DIFF,21.52
CSF CULT (2 OF 2) GRAM STAIN,17.52
CSF CULT-1OF2,33.53
CSF GLUCOSE,13.51
CSF IGG,36.28
CSF LDH,5
CSF LEAKAGE STUDY,4156
CSF MYELIN BASIC PROTEIN,57.05
CSF PROTEINELECTRO (1OF2),5
CSF PROTEINELECTRO (2OF2),69.56
CSF SHUNT STUDY,3115
CSF TOTAL PROTEIN,5
CSF VDRL,16.76
CSF-CEREBROSPINAL FLUID CYTOLOGY,66.06
CSF-CHLORIDE,19.27
CT ABD AND PELVIS WOW,4645
CT ABD PELVIS WITH IV,4645
CT ABD PELVIS WITHOUT,4290
CT ANGIO ABD&PELV W/O&W/DYE,2614
CT ANGIO AORTA/BI RUNOFF,1443
CT ANGIO CHEST W/O & W/CO,2373
CT CEREBRAL PERF W CONT,2101
CT COLONOGRAPH DIAG WO,1393
CT COLONOGRAPHY SCREENING,875
CT GUID'D TISSUE ABLATION,1137
CT HEART STRUCT MORPH W CNTRST,1263
CT HEART WO CNTRST W EVAL&CALCIUM,212
CT L SPINE RETRO/RECON,4500
CT LIMITED OR LOCAL,1460
CT LUNG DIAGNOSTIC,3538
CT NG TRICH VAG BY NAA,121.36
CT ORB/SEL/POST/EAR FOS W,4080
CT ORB/SEL/POST/EAR FOS WO,3161
CT ORB/SEL/POST/EAR FOS WOW,4598
CT T SPINE RETRO/RECON,4500
CT THORAX LOW DOSE NODULE F/U W/O,3538
CT THORAX PE EXAM W CONTRAST,3834
CT THORAX WO,3538
CT UPPER EXT COMBINED LT,4238
CT UPPER EXT COMBINED RT,4238
CTA ABDM ANGIO W/O & W/CO,1725
CTA HEART CORN ART W CNTRST,1263
CTO DES & ANY COMBO TX ADDL LAD,34934
CTO DES & ANY COMBO TX ADDL LCX,34934
CTO DES & ANY COMBO TX ADDL LTM,34934
CTO DES & ANY COMBO TX ADDL RAMUS,34934
CTO DES & ANY COMBO TX ADDL RCA,34934
CTO DES & ANY COMBO TX LAD,34934
CTO DES & ANY COMBO TX LCX,34934
CTO DES & ANY COMBO TX LT MAIN,34934
CTO DES & ANY COMBO TX RAMUS,34934
CTO DES & ANY COMBO TX RCA,34934
CTO STENT & ANY COMBO TX ADDL LAD,27500
CTO STENT & ANY COMBO TX ADDL LCX,27500
CTO STENT & ANY COMBO TX ADDL LTM,27500
CTO STENT & ANY COMBO TX ADDL RAM,27500
CTO STENT & ANY COMBO TX ADDL RCA,27500
CTO STENT & ANY COMBO TX LAD,27500
CTO STENT & ANY COMBO TX LCX,27500
CTO STENT & ANY COMBO TX LT MAIN,27500
CTO STENT & ANY COMBO TX RAMUS,27500
CTO STENT & ANY COMBO TX RCA,27500
CULTURE TYPE IMMUNOFLUORESC,15.26
CURRETAGE POSTPARTUM,2830
CUSTOM ABUTMENT,300
CVC DRESSING TRAY,74
CVS/1,1545
CYANIDE BLOOD,73.32
CYCLIC CITROLLINATED PEP,48.04
CYCLOSPORA & ISOSPORA EXAMINATION,26.02
CYCLOSPORIN A,70.31
CYSTATIN C,56
CYSTIC FIBROSIS,37.53
CYSTO  REM STENT,1858
CYSTOGRAM MIN 3 VWS,1031
CYSTOSCOPY,738
CYSTOURETHROSCOPY,512
CYTO FLUID SMEAR PREP ONL,47.54
CYTOGENETICS,112.6
CYTOGENETICS 1OF2,491.94
CYTOGENETICS 2OF2,112.6
CYTOLOGY THIN PREP,81.32
CYTOMEGALOVIRUS (CMV) CULTURE,100.59
CYTOPATH FL NONGYN SMEARS,47.54
D5 1/4 (250CC THRU 500CC),212
DACRYOCYSTOGRAM NASOL LT,1670
DACRYOCYSTOGRAM NASOL RT,1670
DAT  EA ANTISERA ARC,137.84
D-DIMER CSF,26.52
DEBRIDE BONE <= 1ST 20 SQ CM,2830
DEBRIDE BONE EA ADD'L 20 SQ CM,2830
DEBRIDE MUSC/FASCIA FRST 20 CM,2830
DEBRIDE MUSCLE <= 1ST 20 SQ CM,2830
DEBRIDE MUSCLE EA ADD'L 20 SQ CM,2830
DEBRIDE NON SELECT W/O ANES,183
DEBRIDE NON SELECT W/O ANES/SESSN,183
DEBRIDE SKIN SQ <= 1ST 20 SQ CM,2830
DEBRIDE SKIN SQ EA ADD'L 20 SQ CM,2830
DEBRIDE WOUND 20 CM OR LESS,147
DEBRIDMNT SKIN/SUBQ 20CM OR LESS,2830
DEBRIDMNT SKIN/SUBQ EA AD 20CM,2830
DECALCIFICATION,101.21
DECAPOLAR DX CATH 7F RPR,633
DECAPOLAR FIXED 6F RPR,440
DECLOT VAD W/ THROMBOLYTIC AGENT,460
DECLOT W/THROMB VAD/CATH,729.05
DEF ID MOLD ORG 1 2 3,38.28
DEF ID YEAST ORG 1 2 3,38.28
DEFINITIVE ID EA ORGANISM,22.27
DELTA AMINO LEVEL ACID,64.31
DENGUE VIRUS IGM,57.05
DENTAL SERVICES IMPLANT,300
DENTR COMPLETE MAND,1114
DENTR COMPLETE MAX,1114
DENTR IMMED MAND,1166
DENTR IMMED MAX,1166
DESIPRAMINE,200
DESIPRAMINE SERUM,200
DESTRUCT ACTINIC KERATOSES(15+),1422
DESTRUCT ACTINIC KERATOSES(2-14),774
DESTRUCT ACTINIC KERATOSIS(1ST),774
DESTRUCT BENIGN LESION 1-14,774
DESTRUCT LES ANUS SMPLE CHEMICAL,197
DESTRUCT LES VULVA SMPL,1570
DESTRUCT SKIN LESION 0.6-1.0CM,690
DESTRUCT SKIN LESION 1.1-2.0CM,690
DESTRUCT SKIN LESION 2.1-3.0CM,645
DESTRUCT SKIN LESION 3.1-4.0CM,645
DESTRUCT VAG LES EXTENSIVE,1489
DESTRUCT VAG LES SMPL,1489
DESTRUCT WART 15 OR MORE,155
DESTRUCTION WART 1-14,88
DETECT AGENT NOS DNA AMP,121.36
DEVELOPMENTAL TESTING,352
DEVELOPMENTAL TESTING,352
DEVELOPMENTAL TESTING,352
DEVELOPMENTAL TESTING EXT,704
DEVELOPMENTAL TESTING EXT,704
DEVELOPMENTAL TESTING EXT,704
DEXA AXIAL SKELETON,502
DEXA PERIPHERAL,308
DEXAMETHASONE SOD PHOS INJ 1MG,0.73
DFA RESP VIRAL ANTIGENS ADENOVIRU,38.03
DHEA,98.59
DHEA S,79.07
DIAB EDUC GRP PER 30 MIN,85
DIAB EDUC INDIV PER 30MIN,110
DIAGNOSTIC CASTS,90
DIFF ABS/ EA CELL ARC,150
DIFFUSING CAPACITY,766
DIGITAL BI DX MAM INCL CAD2D,497
DIGITAL BIL SCRNG MAMMO INCL CAD,497
DIGITAL BREAST TOMO DIAG UNI/BIL,126
DIGITAL BREAST TOMO SCREEN,126
DIGITAL LT SCRNG MAMMO INCL CAD2D,497
DIGITAL RT SCRNG MAMMO INCL CAD2D,497
DIGITAL UNI MAMMO INCL CAD LT 2D,426
DIGITAL UNI MAMMO INCL CAD RT 2D,426
DIGOXIN,51.8
DIHYDROTESTOSTERONE,200
DILANTIN TOTAL,50.8
DILATE BILE DUCT COMPLETE,5664
DILATION NEPHROSTOMY/URET,2933
DILUTE RUSSELL VIPER VENOM TIME,33.28
DILUTION OF SERUM ARC,83.81
DIPHTHERIA ANTITOXOID AB,50.04
DIR AGT EA ANTISERUM,137.84
DIRECT BILIRUBIN,17.27
DIRECT LDL CHOLESTEROL,32.03
DIRECT PLATELET ANTIBODY,28.78
DIRECT SPERM ANTIBODY MAR,118
DMSA TC SUCCIMER UP TO 10 MCI,565
DNA ANALYSID,181.24
DNA ANAYSIS PARAFFIN,181.24
DNA AUTOABS SINGLE STRANDED DNA,45.04
DNA PLOIDY BY IMAGE ANALYSIS,92.83
DNASE B ANTIBODY,51.3
DOB STRESS TTE COMPLETE,1424
DOBUTAMINE STRESS TEST,1160
DONATH LANDSTEINER,34.28
DOP ECHO CLR FLOW VEL MAP,675
DOPP ECHO W SPECTRAL DSPLY,593
DOPPLER ECHOCARDIOGR F/U,385
DOSIMETRY BASIC,575
DOXEPIN/NORDOXEPIN,200
DRAGONFLY KIT,3825
DRAIN CATH(BIL/NEPH/ABS) LEVEL 1,250
DRAIN CATH(BIL/NEPH/ABS) LEVEL 2,350
DRAIN CATH(BIL/NEPH/ABS) LEVEL 3,450
DRAIN CATH(BIL/NEPH/ABS) LEVEL 4,550
DRAIN CATH(BIL/NEPH/ABS) LEVEL 5,9225
DRAIN PILONIDAL CYST COMP,896
DRAIN PILONIDAL CYST SIMP,258
DRAIN/INJ FINGERS/TOE JOINT BURSA,211
DRAINAGE OF SPINAL FLUID,725
DRUG COATED BALLOON CATH,10877
DRY NEEDLING MUSCULOSKEL UNLISTPX,4722
DSE WITH CONTRAST,2703
DT VACCINE,79
DTAP / HIB,0.01
DTP VACCINE IM < 7YRS,95
DTPA-TC PENTETATE UP TO 25 MCI,83
DUCTOGRAM MULT LT,663
DUCTOGRAM MULT RT,663
DUO-DECA 2-10 7F RPR,2126
DUPLEX ARTER REAL TIME LOWER LT,1017
DUPLEX ARTER REAL TIME LOWER RT,1017
DUPLEX ARTER REAL TIME UPPER BIL,1502
DUPLEX ARTER REAL TIME UPPER LT,1017
DUPLEX ARTER REAL TIME UPPER RT,1017
DUPLEX CAROTIDS UNI LT,1017
DUPLEX CAROTIDS UNI LT,1017
DUPLEX CAROTIDS UNI RT,1017
DUPLEX CAROTIDS UNI RT,1017
EACH ADDITIONAL IV PUSH NEW DRUG,175
EAR CULT & STAIN (1OF2),33.53
EAR CULT & STAIN (2 OF 2) GRAM ST,17.52
EBV ANTIBODIES (2OF2) VCA IGM,64.56
EBV ANTIBODIES 1OF2,64.56
EBV COMP (2OF4) VCA IGM,64.56
EBV COMP (3OF4) EA,46.54
EBV COMP (4OF4) EBNA,54.3
EBV COMPREHENSIVE AB PANL,64.56
ECC,738
ECHOCARDIOGRAPHY FETAL FU,438
ECHOVIRUS AB (1OF5),22.39
ECHOVIRUS AB TYE 9(3OF5),22.39
ECHOVIRUS AB TYPE 11(4OF5),22.39
ECHOVIRUS AB TYPE 30(5OF5),22.39
ECHOVIRUS AB TYPE 7(2OF5),22.39
EEG AWAKE AND ASLEEP,2376
EEG AWAKE AND DROWSY PORTABLE,900
EEG CEREBRAL DEATH EVAL,515
EEG COMA OR SLEEP ONLY,603
EEG COMA OR SLEEP PORTABLE,728
EEG EXTENDED 41-60 MIN,1736
EEG EXTENDED>60 MIN,1836
EEG MONITOR W/VIDEO EA 24HRS,2065
EEG PORTABLE AWAKE AND ASLEEP,2164
EEG ROUTINE AWAKE ASLEEP,1536
EEG ROUTINE AWAKE DROWSY,900
EEG-OPER NONCRAINIAL SURG,5258
EGFR MUTATION ANALYSIS,825
EHRLICHIA ANTIBODY,37.78
EHRLICHIA CHAFFEENSIS IGG/IGM ANT,37.78
EKG,281
EKG,281
EKG,281
EKG,281
EKG,281
EKG - 12 LEAD,281
EKG ADD L SAME DATE,281
EKG TRACING ONLY WO REPORT,15
EKG-RHYTHM STRIP,246
ELASTIC GARMENT/COVERING,161
ELASTOGRAPHY IMAGING,120
ELBOW 2 VIEWS LT,477
ELBOW 2 VIEWS RT,477
ELBOW MIN 3 VIEWS LEFT,612
ELBOW MIN 3 VIEWS RIGHT,612
ELEC STIM MAN EA 15 MIN,107
ELEC STIM MAN EACH 15 MIN,107
ELEC STIM MAN EACH 15 MIN,107
ELEC STIM MAN EACH 15 MIN,107
ELEC STIM MAN EACH 15 MIN MOD 59,107
ELEC STIM MAN EACH 15 MIN MOD 59,107
ELEC STIM MAN EACH 15 MIN MOD 59,107
ELEC STIM MAN EACH 15 MIN MOD59,107
ELEC STIM MAN EACH 15 MIN/1,107
ELEC STIMULATION  UNATTND,100
ELEC STIMULATION MANUAL EA 15 MIN,107
ELECT STIM ATT EA 15 MIN,107
ELECT STIM ATT EA 15 MIN,107
ELECT STIM ATT EA 15 MIN,107
ELECT STIM ATT EA 15 MIN MOD 59,107
ELECT STIM ATT EA 15 MIN MOD 59,107
ELECT STIM ATT EA 15MIN MOD59,107
ELECT STIM MAN EA 15 MIN,107
ELECT STIM MAN EA 15 MIN,107
ELECT STIM UNATT,100
ELECT STIM UNATT MOD 59,100
ELECT STIM UNATT MOD 59,100
ELECT STIM UNATTEND,100
ELECT STIM UNATTEND MOD 59,100
ELECT STIM UNATTEND MOD 59,100
ELECT STIM UNATTEND MOD 59,100
ELECT STIM UNATTEND MOD 59,100
ELECT STIM UNATTENDED,100
ELECT STIM UNATTENDED,100
ELECT STIM UNATTENDED,100
ELECT STIM UNATTENDED MOD 59,100
ELECTRIC STIM ATTENDED EA 15 MIN,107
ELECTRIC STIM UNATTENDED,100
ELECTRIC STIM UNATTENDED,100
ELECTRIC STIM UNATTENDED,100
ELECTROLYTES,24.27
ELECTRON MICROSCOPY,467.92
ELECTROPHYSIOLOGY 3D MAP/1,4500
ELUTION ARC EACH,97
EMBOLIZATION DEVICE LEVEL 1,250
EMBOLIZATION DEVICE LEVEL 3,950
EMBOLIZATION DEVICE LEVEL 5,2050
EMBOLIZATION DEVICE LEVEL 7,2350
EMBOLIZATION DEVICE LEVEL 9,3050
EMBOLIZATION PROTECT SYS/1,5268
EMBOLIZATION PROTECT SYS/2,7200
EMBRYO ADD'L YEAR STORAGE,750
ENA ANTIBODY PANEL,65.56
ENA QUANT SCREEN,47.04
END TIDAL CO2 SYSTEM ASSESSMENT,360
ENDO THERAPY - ANTERIOR,570
ENDO THERAPY - BICUSPID,660
ENDO THERAPY - MOLAR,730
ENDOCERVICAL CURETTAGE/1,160
ENDOMETRIAL BIOPSY,70
ENDOMETRIAL BX,738
ENDOMETRIAL BX W/ COLOPOSCOPY,738
ENDOMYOCARDIAL BIOPSY,4491
ENDOMYOCARDIAL BIOPSY FORCEP,1350
ENDOMYSIAL AB TITER,28.78
ENDOMYSIAL IGA AB SCRNW/RFLX TITR,44.04
ENTAMOEBA HISTOLYTICA AB,57.05
ENTEROVIRUS ANTIBODY,22.39
ENTEROVIRUS RNA QUAL REAL-TIMEPCR,121.36
ENZYME DETECT-BETA LACTAMASE,18.52
EOSINOPHIL SMEAR URINE,19.52
EP 5F CRD2 QUAD CATH RPR,273
EP 7F DIAG CATH RPR,1035
EP DECAPOLAR RPR,950
EP DX CATH 19 OR FEW ELECTRODE,800
EP DX CATH 19 OR FEW ELECTRODE/1,2835
EP DX CATH 19 OR FEW ELECTRODE/2,4190
EP DX CATH 20 OR MORE ELECTRODE,1517
EP DX CATH 20 OR MORE ELECTRODE/1,2835
EP DX CATH 20 OR MORE ELECTRODE/2,5472
EP DX CATH 20 OR MORE ELECTRODE/3,7650
EP EVAL ICD @ IMP GEN,4145
EP EVAL ICD W/PRGRMG OR R,4145
EP EVAL TRANSPT AFIB TX PULM VEIN,52078
EP OCTAPOLER 6F RPR,846
EP QUAD CATHETER 6X125 RPR,264
EP UPPER AND LOWER COMBINED,2362
EPIFIX P/SQ CM 1.4 SQ CM PIECE,704
EPIFIX P/SQ CM 1.8 SQ CM PIECE,1116
EPIFIX P/SQ CM 12.25 SQ CM MESH,430
EPIFIX P/SQ CM 18 SQ CM MESH,349
EPIFIX P/SQ CM 4 SQ CM PIECE,1197
EPIFIX P/SQ CM 6 SQ CM MESH,1046
EPIFIX P/SQ CM 6 SQ CM PIECE,858
EPIFIX P/SQ CM 8 SQ CM PIECE,759
EPS EVAL SUBQ IMPLT DEFIB,3175
EPS EVAL W/SVT ABLATION,52078
EPS EVAL W/VT ABLATION,52078
ER DRUG SCREEN SERUM,200
ERCP BILIARY COMPLETE,1707
ERCP COMPLETE,1707
ERCP COMPLETE,1707
ERCP PANCREATIC COMPLETE,1707
ERYTROPOIETIN,57.05
ESOPHAGEAL MOTILITY,1492
ESOPHAGUS,1110
ESOPHAGUS SWALL FUNCT,410
ESOPHAGUS W BARIUM LTD,395
ESSENTIAL & METABOLIC FATTY ACID,38.28
EST PT LEVEL 1 WO PROC,131
EST PT LEVEL 2 W PROC,219
EST PT LEVEL 2 WO PROC,219
EST PT LEVEL 3 W PROC,307
EST PT LEVEL 3 WO PROC,307
EST PT LEVEL 4 W PROC,437
EST PT LEVEL 4 WO PROC,437
EST PT LEVEL 5 W PROC,570
EST PT LEVEL 5 WO PROC,570
ESTABLISHED PATIENT VISIT,250
ESTIM UNATTENDED,100
ESTIM UNATTENED,100
ESTIM UNATTENED,100
ESTRADIOL 17 BETA,108.1
ESTRIOL UNCONJUGATED,92.08
ESTROGENS TOTAL,76.32
ESTRONE,90.83
ESWL LEFT,27000
ESWL RIGHT,27000
ETC CRITICAL CARE ADDL 30 W/ PROC,2356
ETC CRITICAL CARE W/ PROC,4893
ETC CRITICAL CARE W/O PROC,4893
ETC E&M LEVEL 1 W/  PROCEDURE,347
ETC E&M LEVEL 1 W/O PROCEDURE,347
ETC E&M LEVEL 2 W/  PROCEDURE,434
ETC E&M LEVEL 2 W/O PROCEDURE,434
ETC E&M LEVEL 3 W/  PROCEDURE,598
ETC E&M LEVEL 3 W/O PROCEDURE,598
ETC E&M LEVEL 4 W/  PROCEDURE,1099
ETC E&M LEVEL 4 W/O PROCEDURE,1099
ETC E&M LEVEL 5 W/  PROCEDURE,2244
ETC E&M LEVEL 5 W/O PROCEDURE,2244
ETC HOSP OBSV SERV P/HR,144
ETC- IN HOUSE CONSULTS,0
ETC PROCEDURE LEVEL 1,250
ETC PROCEDURE LEVEL 2,525
ETC PROCEDURE LEVEL 3,750
ETC PROCEDURE LEVEL 4,1350
ETC PROCEDURE LEVEL 5,1750
ETC PROCEDURE LEVEL 6,2300
ETC PROCEDURE LEVEL 7,2800
ETC PROCEDURE LEVEL 8,3300
ETC PROCEDURE LEVEL 9,3800
ETHOSUXIMIDE,63.81
ETHYLENE GLYCOL,40.29
EVAL NON SPEECH AAC ADDL 30,100
EVAL NON SPEECH AAC ADDL 30,100
EVAL NON SPEECH AAC ADDL 30,100
EVAL NON SPEECH AAC FIRST HR,304
EVAL NON SPEECH AAC FIRST HR,304
EVAL NON SPEECH AAC FIRST HR,304
EVAL PROSTHETIC DEVICE,346
EVAL PROSTHETIC DEVICE,346
EVAL PROSTHETIC DEVICE,346
EVAL SPEECH AAC ADDL 30,154
EVAL SPEECH AAC ADD'L 30,154
EVAL SPEECH AAC ADD'L 30,154
EVAL SPEECH AAC FIRST HR,383
EVAL SPEECH AAC FIRST HR,383
EVAL SPEECH AAC FIRST HR,383
EVAL SPEECH FLUENCY,409
EVAL SPEECH FLUENCY,409
EVAL SPEECH FLUENCY,409
EVAL SPEECH SOUND PROD,330
EVAL SPEECH SOUND PROD,330
EVAL SPEECH SOUND PROD,330
EVAL SWALLOW ORAL FUNCTIO,704
EVAL SWALLOW ORAL FUNCTION,704
EVAL SWALLOW ORAL FUNCTION,704
EVASC PRLNG ADMN RX AGNT 1ST,4941
EVASC PRLNG ADMN RX AGNT ADD,4941
EVENT RECORDER CARDIAC L1,9875
EVENT RECORDER CARDIAC L2,13328
EX BEN LES TRUNK 1.1-2.0,350
EX BEN LESN .6 - 1 CM,738
EX BEN LESN <=.5 CM,738
EX BEN LESN <=.5CM,640
EX BEN LESN FACE <=.5 CM,738
EX BEN LESN FACE <=.5CM,351
EX BEN LESN FACE >4CM,3247
EX BEN LESN FACE 0.6-1.0CM,738
EX BEN LESN FACE 1.1-2.0CM,738
EX BEN LESN FACE 2.1-3.0CM,738
EX BEN LESN FACE 3.1-4.0CM,1770
EX BEN LESN SC/HD/FT >4 CM,3247
EX BEN LESN SC/HD/FT 1.1-2 CM,738
EX BEN LESN SC/HD/FT 2.1-3 CM,738
EX BEN LESN SC/HD/FT 3.1-4 CM,1770
EX BEN LESN TRNK .6-1.0 CM,738
EX BEN LESN TRNK <=.5CM,738
EX BEN LESN TRNK > 4 CM,3247
EX BEN LESN TRNK 1.1-2.0 CM,738
EX BEN LESN TRNK 2.1-3 CM,738
EX BEN LESN TRNK 3.1- 4 CM,1770
EX BEN LESN TRUNK <=.5CM,350
EX BEN LESN TRUNK > 4 CM,1196
EX BENIGN LESN .6-1CM,640
EX BENIGN LESN FACE >4CM,1646
EX BENIGN LESN FACE 0.6-1,422
EX BENIGN LESN FACE 1.1-2,585
EX BENIGN LESN FACE 2.1-3,585
EX BENIGN LESN FACE 3.1-4,741
EX BENIGN LESN SC/HC/FT 2.1-3CM,1245
EX BENIGN LESN SC/HC/FT 3.1-4CM,1245
EX BENIGN LESN SC/HD/FT >4 CM,1646
EX BENIGN LESN SC/HD/FT 1.1-2CM,350
EX BENIGN LESN TRNK .6-1.0 CM,350
EX BENIGN LESN TRUNK 2.1-3CM,670
EX BENIGN LESN TRUNK 3.1- 4 CM,1196
EX MAL LESN SCALP 3.1-4.0,1245
EXC BEN LES TRK/EXT <=0.5CM,1411
EXC BEN LES TRK/EXT >4.0CM,3317
EXC BEN LES TRK/EXT 0.6-1.0CM,1398
EXC BEN LES TRK/EXT 1.1-2CM,1523
EXC BEN LES TRK/EXT 2.1-3CM,2176
EXC BEN LES TRK/EXT 3.1-4CM,2632
EXC BENIGN LES 2.1-3.0CM,2176
EXC SKIN TAGS (UP TO 15),90
EXC/REMOVAL FOREIGN BODY COMPL,2830
EXCISION 2.1-3.0 CM,2751
EXCISION BENIGN LESION 0.6CM-1CM,1398
EXCISION OF SKIN TAGS,90
EXCISION OF SKIN TAGS/1,90
EXCISION PERICORONAL GING/ARCH,260
EXCISION VAGINAL CYST/TUMOR,1060
EXCISION-HYPERPLAST TISS-ARCH,400
EXPLORE PENETRATING WOUND EXTREM,4385
EXT SIMPLE SINGLE,120
EXT SURG ERUPT,210
EXT SURG IMP COMP BONY,460
EXT SURG IMP PTL BONEY,500
EXT SURG IMP ROOTS,190
EXT SURG IMP SOFT TISSUE,250
EXTENDED FORENSIC EXAM,240
EXTENDED K RAS MUTATION,493
EXTERNAL CARDIOVERSION IN RR,1200
EXTERNAL VERSION,2830
EXTERNAL VERSION/1,2830
EYE CULT & STAIN (2 OF 2) GRAM ST,17.52
EYE CULT-1OF2,33.53
F2 GENE,51.76
F5 GENE ANAL LEIDEN VARIANT,85.8
FACIAL BONES 1-3 VIEW,468.51
FACIAL BONES MIN 3 VIEWS,1031
FACTOR II ACTIVITY,20.02
FACTOR IX ASSAY,71.56
FACTOR V ASSAY,66.81
FACTOR VII ASSAY,62.81
FACTOR VIII ACTIVITY,68.06
FACTOR VIII ASSAY,68.06
FACTOR X ASSAY,69.81
FACTOR XI ASSAY,69.81
FACTOR XII ASSAY,65.56
FAMILY PSYCH W/OUT PATIENT 50MIN,136
FAMILY PSYCHO W/ PATIENT 50 MIN,136
FANA STAINING PATTERNS TITER,39.79
FAST TRACK RECOVERY IN PHASE II,1000
FECAL FAT QUANT,65.56
FECAL HGB IMMUNOASSAY QUA,57.05
FEESR,612
FEESR,612
FEESR,612
FEESST,612
FEESST,612
FEESST,612
FELST,612
FELST,612
FELST,612
FEM/POP PTA W/ ATHER,37747
FEM/POPL PTA UNILATERAL,17780
FEM/POPL STENT & ATHER INCLD PTA,65373
FEM/POPL STENT &PTA,37747
FEMUR 2 VIEWS LEFT,750
FEMUR 2 VIEWS RIGHT,750
FERN TEST,26.25
FERRITIN,53.3
FETAL BIOPHYS PROFILE NON-STRESS,455
FETAL BLADDER ASPIRATION/CENTESIS,645
FETAL DOP COLOR FLOW EA ADD FETUS,675
FETAL DOP COLOR FLOW INIT FETUS,675
FETAL DOPPLER EA ADD FETUS,667
FETAL DOPPLER INIT FETUS,667
FETAL ECHOCARDIOGRAM EA ADD FETUS,859
FETAL ECHOCARDIOGRAM INIT FETUS,859
FETAL FIBRONECTIN,222.7
FETAL FIBRONECTIN,222.7
FETAL LUNG MAT ASSESS,42.04
FETAL SC HGB F QUAL,36
FETAL SHUNT PLACEMENT,1545
FETAL TRANSFUSION,643
FFP DIVIDE,617
FFP THAWING EA UNIT,119.24
FIBRINOGEN,34.28
FIDUCIAL TISSUE MARKER  EACH,405
FIDUCIAL TISSUE MARKER EACH,405
FINGER(S) LT MIN 2 VIEW,415
FINGER(S) RT MIN 2 VIEW,415
FIRST TRIMESTER VISIT,100
FISH BLADDER CANCER (UROVYSION),328.87
FISH DNA PROBE EACH,41.79
FISTULA S&I,1598
FLEXIBLE LARYNGOSCOPY(DIAG SCOPE),3246
FLO CYTOMETRY CELL SURF MARKER EA,16.5
FLOSEAL,315
FLOW VOLUME LOOPS,413
