Description,Price
TROPONIN I,$242.00 
BUN,$63.00 
URINE UREA NITROGEN,$128.00 
URIC ACID,$98.00 
URINE URIC ACID,$114.00 
SRP UR URIC ACID,$29.00 
VITAMIN A LEVEL,$229.00 
VITAMIN K LEVEL,$189.00 
ZINC,$136.00 
C-PEPTIDE,$160.00 
"BHCG, TUMOR MARKER",$297.00 
BETA HCG QUANT,$239.00 
PREG QUAL URINE,$178.00 
PREG. QUAL SERUM,$173.00 
AUTOMATED DIFFERENTIAL WBC COUNT,$107.00 
HEMATOCRIT,$56.00 
HEMOGLOBIN,$58.00 
HGB POST TRANSFUSION,$58.00 
CBC WITH DIFFERENTIAL AND REFLEX,$140.00 
CBC WITHOUT DIFFERENTIAL,$112.00 
RETICULOCYTE COUNT,$97.00 
WBC COUNT,$61.00 
PLATELET COUNT,$90.00 
SMEAR REVIEW,$179.00 
FACTOR 8,$352.00 
VON WILLEBRAND RISTO COFACTOR,$188.00 
VON WILLEBRAND FACTOR AG,$280.00 
FACTOR 9 ASSAY,$254.00 
ANTITHROMBIN 3,$513.00 
PROTEIN C FUNCTIONAL ACTIVITY,$364.00 
"PROTEIN S FUNCTIONAL, FREE",$339.00 
ACTIVATED PROTEIN C,$140.00 
FDP (DIC),$184.00 
D-DIMER,$206.00 
FIBRINOGEN,$169.00 
.FETAL STAIN KLEIHAUER BETKE,$218.00 
FETAL SCREEN WITH REFLEX,$165.00 
ANTI XA HEPARIN,$315.00 
"OSMOTIC FRAGILITY, RBC",$170.00 
PROTIME,$84.00 
DILUTE VIPER VENOM TIME,$181.00 
WESTERGREN SED RATE,$87.00 
PTT,$136.00 
RAST SINGLE,$45.00 
MILK ALLERGEN RAST IGE,$81.00 
ANA,$166.00 
ANA TITER,$163.00 
ASO TITER,$140.00 
.BLOOD BANK PHYSICIAN SERVICES,$212.00 
.TRANS RXN INVESTIGATION,$286.00 
CRP-NON HIGH SENS,$118.00 
CRP-HIGH SENSITIVITY,$154.00 
BETA 2 GLYCOPROTEIN,$219.00 
CARDIOLIPIN ANTIBODY,$339.00 
COMPLEMENT C3,$237.00 
COMPLEMENT C4,$237.00 
COMPLEMENT TOTAL CH50,$398.00 
CYCLIC CITRULLINATED PEPTIDE ANTIBODY,$148.00 
ANTI-DNASE B,$98.00 
DNA ANTIBODY DOUBLE STRANDED,$271.00 
ANTI RNP,$193.00 
ANTI SMITH AB,$193.00 
ANTI SSA,$193.00 
ANTI SSB,$193.00 
Jo-1 AUTO ANTIBODY,$193.00 
SCLERODERMA AB (ANTI SCL-70),$193.00 
"ANCA  (NEUTROPHIL CYTOPLASMIC AB, IGG)",$212.00 
"ANTI SMOOTH MUSCLE AB, IGG",$212.00 
ANTI MITOCHONDRIAL ANTIBODY,$180.00 
SMOOTH MUSCLE AB TITER,$155.00 
ANCA TITER,$154.00 
CA 27.29,$282.00 
CA 15-3-MMC,$176.00 
CA 19-9,$249.00 
CA 125-MMC,$207.00 
HUMAN EPIDIDYMIS PROTEIN 4 HEA,$363.00 
MONO TEST,$114.00 
CHROMOGRANIN A,$207.00 
TETANUS ANTIBODY,$291.00 
PNEUMOCOCCAL IgG,$92.00 
IMMUNOELECTROPHORESIS,$265.00 
IMMUNOFIX.ELECTROPHORESIS,$239.00 
"IMMUNOFIXATION, UR",$297.00 
INSULIN ANTIBODIES,$178.00 
TOTAL B CELLS (CD19+),$122.00 
"NATURAL KILLER CELLS, TOTAL COUNT",$122.00 
TOTAL T CELLS (CD3+),$122.00 
ABSOLUTE CD4 & CD8,$154.00 
LYMPHOCYTE SUBSET 1,$254.00 
THYROID AB PEROXIDASE,$106.00 
CSF CRYPTOCOCCAL ANTIGEN,$136.00 
RHEUMATOID FACTOR,$114.00 
"RHEUMATOID FACTOR, QUANT",$113.00 
QUANTIFERON TB,$297.00 
SPINAL VDRL,$87.00 
ASPERGILLOSIS BY ID,$63.00 
ASPERGILLOSIS IMMUNODIF,$63.00 
BLASTOMYCOSIS BY CF,$219.00 
BLASTOMYCOSIS BY ID,$110.00 
LYME IgG CONFIRM WESTERN BLOT,$89.00 
LYME IgM CONFIRM WESTERN BLOT,$89.00 
"LYME DISEASE ANTIBODIES, TOTAL",$333.00 
CSF LYME DISEASE ANTIBODIES,$167.00 
"CHLAMYDIA ANTIBODY,IgG",$137.00 
"CHLAMYDIA AB, IGM",$160.00 
COCCIDIODES BY CF,$124.00 
COCCIDIOMYCOSIS BY ID,$124.00 
CRYPTOCOCCAL AG,$284.00 
.CMV-CICBC,$164.00 
CMV,$154.00 
EBV AB TO EARLY AG EA-D IGG,$82.00 
EBV AB TO NUCLEAR AG IGG,$319.00 
EBV CAPSID AB,$87.00 
HERPES SIMPLEX 1,$174.00 
HERPES SIMPLEX 2,$343.00 
HISTOPLASMA ANTIBODY BY ID,$128.00 
HBcAB IGG/IGM,$157.00 
HEPATITIS B SURFACE AB,$162.00 
HEPATITIS Be ANTIBODY,$68.00 
"HEPATITIS A AB, TOTAL",$104.00 
HA AB IgM,$157.00 
MUMPS,$91.00 
MYCOPLASMA PNEUMONIAE,$163.00 
PARVOVIRUS,$128.00 
"RUBELLA ANTIBODY, IgG",$133.00 
MEASLES IGG AB,$166.00 
SYPHILIS TP ANTIBODY,$114.00 
RPR TITER,$106.00 
VARICELLA ZOSTER IGG AB,$193.00 
VARICELLA ZOSTER IGM AB,$162.00 
NOROVIRUS EIA (STOOL),$244.00 
THYROGLOBULIN ANTIBODY,$181.00 
HEPATITIS C VIRUS ANTIBODY,$191.00 
DONOR SPECIFIC ANTIBODIES,$509.00 
HLA-B27,$196.00 
ANTIBODY SCREEN,$166.00 
.ANTIBODY SCRN-CICBC/MMC,$163.00 
.ANTIBODY SCREEN-PREWARM,$158.00 
".ELUTION, RBC ANTIBODY",$214.00 
.ANTIBODY IDENTIFICATION,$476.00 
".ANTIBODY ID-PANEL,CICBC",$309.00 
DIRECT COOMBS,$109.00 
.DIRECT COOMBS-MMC COMPLEMENT,$102.00 
.INDIRECT COOMBS,$111.00 
.ANTIBODY TITER,$202.00 
.ABO GROUP,$90.00 
.RH TYPE (CORD),$84.00 
.KELL UNIT AG TYPE,$94.00 
.ANTIGEN TYPE PATIENT,$139.00 
.CICBC AG TYPE - TIER I,$118.00 
.CROSSMATCH IMMED SPIN TECH,$221.00 
.CROSSMATCH-AHG,$215.00 
.THAWING CHARGE,$78.00 
.IRRADIATION SERVICE,$148.00 
.PRE-TREAT RBC/ENZYMES-CICBC,$140.00 
AFB CONCENTRATION,$162.00 
BROTH ENRICHMENT,$105.00 
CULTURE BLOOD,$287.00 
CULTURE FECES,$193.00 
ADDITIONAL ORGANISMS,$91.00 
CULTURE CSF,$199.00 
CULTURE ANAEROBIC,$273.00 
ORGANISM ID DEFINITIVE AEROBIC,$104.00 
CULTURE GC,$137.00 
CULTURE MRSA,$137.00 
.LIM BROTH,$124.00 
CULTURE URINE,$150.00 
"CULTURE FUNGUS, OTHER SOURCE",$166.00 
YEAST IDENTIFICATION,$73.00 
CULTURE TB,$224.00 
GROUP B STREP MOLECULAR,$191.00 
GRINDING TISSUE,$22.00 
"O&P EXAM, FECAL",$165.00 
ANTIBIOTIC SENS BY DISK,$116.00 
.BETA LACTAMASE,$61.00 
MINIMUM INHIBITORY CONCENTRATION (MMC),$154.00 
SUSCEPTIBILITY (MIC),$108.00 
SUSCEPTIBILITY STUDY-CEFINASE,$63.00 
GRAM STAIN,$91.00 
STAIN ACID FAST,$109.00 
TRICHROME STAIN,$129.00 
WET MOUNT (SALINE ),$95.00 
KOH PREPARATION TISSUE,$110.00 
CULTURE VIRUS,$457.00 
.VIRUS CULTURE ADDL,$165.00 
CRYPTOSPORIDIUM BY EIA,$114.00 
GIARDIA BY EIA,$120.00 
H PYLORI AG ON STOOL,$253.00 
HEPATITIS B SURFACE AG WITH REFLEX,$141.00 
HEPATITIS Be ANTIGEN,$462.00 
HISTOPLASMA AG URINE,$348.00 
"HISTOPLASMA ANTIGEN, SERUM",$297.00 
"GALACTOMANNAN ANTIGEN,UR",$270.00 
HIV 1/2 AG/AB COMBO W/REFLEX,$191.00 
"LEGIONELLA PNEUMOPHILA ANTIGEN, URINE",$199.00 
"STREP PNEUMONIAE ANTIGEN, URINE",$199.00 
"BLASTOMYCES AG, URINE",$194.00 
"CHLAMYDIA PROBE,MALE SWAB,MMC",$232.00 
CHLAMYDIA BY PCR,$203.00 
CLOSTRIDIUM DIFFICILE ON CEPHEID,$241.00 
CMV PCR QL SALIVA,$375.00 
CMV BY PCR,$259.00 
"CMV DNA, QNT, PCR",$618.00 
INFLUENZA A and B MOLECULAR,$372.00 
GASTROINTESTINAL PARASITE PANEL,$388.00 
GASTROINTESTINAL VIRUS PANEL,$634.00 
GASTROINTESTINAL BACTERIAL PANEL,$607.00 
HCV RNA QUANT BY PCR,$837.00 
HSV BY PCR,$482.00 
HIV-1 PCR,$372.00 
HIV VIRAL LOAD,$397.00 
"GC PROBE, MALE SWAB, MMC",$229.00 
N GONORRHOEAE BY PCR,$198.00 
HPV AMPLIFIED PROBE,$235.00 
RESPIRATORY ALLERGEN PANEL,"$1,259.00 "
MRSA ON CEPHEID,$237.00 
GROUP A STREP MOLECULAR,$149.00 
EBV BY PCR,$442.00 
BK VIRUS PCR QT PLASMA,$322.00 
.ADENOVIRUS PCR,$284.00 
BK VIRUS PCR. QUANT,$929.00 
"BK VIRUS, QUANTITATIVE PCR, URINE",$607.00 
RSV MOLECULAR,$375.00 
BORDETELLA PERTUSIS BY PCR,$267.00 
RSV BY RIA,$126.00 
INFECTIOUS AGENT (TOXIN 1 or 2),$186.00 
INFECTIOUS AGENT (CAMPY),$99.00 
HEPA C GENOTYPING BY PCR AND SEQUENCING,"$1,040.00 "
HEPATITIS C GENOTYPING,$805.00 
"CYTOLOGY, MISCELLANEOUS FLUID",$344.00 
CYTOLOGY CSF,$212.00 
CYTO. CELL. ENHANCEMENT,$377.00 
PAP TEST INTERPRETATION,$179.00 
PAP-LIQUID MEDIA,$153.00 
NONGYN CYT-L (P14179),$178.00 
"FNA, ADEQUACY",$238.00 
CYTO-FINE NEEDLE ASPIRATE,$353.00 
FNA EVALUATE ADDITIONAL,$141.00 
CELL SURFACE 1ST MARKER FL. CYT.,$236.00 
CELL SURF EA ADD. MARKER,$169.00 
CD19 FLOW READ 2-8,$138.00 
TISSUE CULT SKIN/TISSUE,$959.00 
HIGH RESOLUTION CHROM.ANALYSIS 15-20 CEL,"$1,146.00 "
SURG PATH 88300,$122.00 
SURG PATH 88302,$233.00 
SURG PATH 88304,$282.00 
SURG PATH 88305,$372.00 
SURG PATH 88307,$650.00 
SURG PATH 88311 DECAL,$110.00 
SURG PATH 88312,$209.00 
SURG PATH 88313,$412.00 
SURG PATH 88331,$588.00 
SURG PATH 88332,$254.00 
SURG IHC  (G0461),$262.00 
SURG IHC EACH ADDITIONAL,$84.00 
SURG PATH 88342,$338.00 
TISSUE IHC,$386.00 
HER-2-NEUTO CHEMISTRY,$366.00 
TRANSCUTANEOUS BILI,$75.00 
BODY FLUID CELL COUNT W/DIFF,$177.00 
FLUID CRYSTALS,$142.00 
ER-IMMUNIZATION ADMIN THROUGH 18 YRS,$134.00 
ER-IMMUNIZATION ADMIN 1 VACCINE,$134.00 
ER-IMMUNIZATION ADMIN EA ADD'L VACCINE,$79.00 
SPEECH TREATMENT,$353.00 
EVAL SP SOUND PROD W/ EVAL LAN-EI 15 MIN,$125.00 
EVAL SPEECH SOUND PROD W/ EVAL LANG,$499.00 
BEHAV & QUALITATIVE ANALYSIS OF VOICE,$499.00 
SWALLOWING TX,$437.00 
OB AUDIO/LIMITED/INFANT,$324.00 
VOICE PROS/EVAL,$476.00 
EVAL FOR SPEECH-GENERATING DEVICE 1ST HR,$802.00 
SWALLOWING EVAL/CLINICAL,$665.00 
SWALLOWING EVAL/W RADIOLOGY,$680.00 
ER-CARDIO RESUSCITATION,"$1,075.00 "
ER-CARDIOVERSION ELECTIVE,"$1,859.00 "
ER ELECTROCARDIOGRAM W/0 INTERPRETATION,$334.00 
CARDIO STRESS TEST T/NUCLEAR W/O INTERP,"$1,204.00 "
HOLTER MONITOR W/O INTERPRETATION,$558.00 
30 DAY EVENT MONITOR HOOK UP,$439.00 
ECHO W/ DOPPLER & COLOR FLOW,"$2,853.00 "
ECHO FOLLOW-UP LIMITED STUDY,$824.00 
PADSET,$237.00 
CARDIAC REHAB W/MON,$271.00 
US CAROTID DOPPLER BILAT 93880,"$1,520.00 "
US CAROTID UNILAT LT 93882,$983.00 
US ABI 93922,$704.00 
US ART MULT SEG PRESSUR BILAT 93923,"$1,076.00 "
US ARTERIAL LEG BILAT 93925,"$1,883.00 "
US ARTERIAL LEG RT 93926,$943.00 
US ARTERIAL ARM BIL 93930,"$1,541.00 "
US ARTERIAL ARM 93931,$937.00 
US VENOUS DOP BILAT 93970,"$1,588.00 "
US VENOUS DOP 93971,"$1,074.00 "
US RENAL ARTERY DOPPLER 93975,"$1,396.00 "
US LIMITED RETROPERITONEAL ORGANS 93976,"$1,020.00 "
US AORTA GRAFT COMPLETE 93978,"$1,141.00 "
VENTILATOR INITIAL DAY,"$2,106.00 "
SPIROMETRY-PFT,$370.00 
METHACHOLINECHALLENG,$936.00 
SIX MINUTE WALK TEST,$188.00 
NEBULIZER TREATMENT,$209.00 
CONT INHALATION TR W/ AEROSAL 1ST HR,$313.00 
CPAP TREATMENT PER 24HR,$730.00 
CHEST PERCUSSION INITIAL,$105.00 
CHEST PERCUSSION SUBSEQUENT,$71.00 
THORACIC GAS VOLUME,$445.00 
DLCO-CARBON MONOXIDE DIFFUSING,$451.00 
PULSE OX SPOT,$119.00 
PULSE OX WITH EXERCISE,$274.00 
CO2 MONITORING,$259.00 
MULTIPLE SLEEP LATENCY TEST,"$3,518.00 "
POLYSOMNOGRAPHY,"$4,413.00 "
POLYSOMNOGRAPHY WITH CPAP,"$4,793.00 "
EEG INCLUDING REPORTING AWAKE & ASLEEP,"$1,069.00 "
IV HYDRATION 31 MIN TO 1 HR,$480.00 
IV HYDRATYION 31 MIN TO 1 HOUR,$480.00 
IV HYDRATION 31 MIN TO 1 HR,$480.00 
IV HYDRATION ADD'L HOUR,$275.00 
INTRAVENOUS INFUSION UP TO 1 HR,$549.00 
INTRAVENOUS INFUSION 1ST HOUR,$286.00 
INTRAVENOUS INFUSION ADD'L HR,$275.00 
ADDITIONAL SEQUENTIAL INFUSION OF NEW DRUG,$276.00 
IV THERAPY SEQ DRUG UP TO 1 HOUR,$258.00 
IV THERAPY CONCURRENT NEW DRUG,$222.00 
ER-THERA PROPH/DIAG INJ BY SQ OR IM,$134.00 
ER-THERA PROPH/DIAG INJ BY IV SINGLE,$282.00 
ER-THERA PROPH/DIAG INJ BY IV SINGLE,$282.00 
ER-ADD'L (DIFF MED)INJ BY IV,$224.00 
IV PUSH SEQUENTIAL SAME DRUG,$204.00 
CHEMO IV PUSH EA ADD'L,$395.00 
CHEMO IV INFUSION INITIAL UP TO 1 HR,$806.00 
CHEMO IV INFUSION EA ADD'L HR,$325.00 
FLUSH INFUSAPORT,$200.00 
PHOTO THERAPY,$345.00 
TRACTION MECHANICAL,$155.00 
ESTIM-UNATTENDED,$150.00 
ESTIM-ATTENDED EA 15 MIN,$154.00 
OT IONTOPHORESIS EA 15 MIN,$169.00 
ULTRASOUND EA 15 MIN,$140.00 
THERAPEUTIC PROCEDURE/4 UNITS,$636.00 
THERAPEUTIC PROCEDURE/2 UNITS,$322.00 
 THERAPEUTIC PROCEDURE/15 MIN,$162.00 
NEUROMUSCULAR RE-ED EA 15 MIN,$160.00 
AQUATIC THERAPY EA 15 MIN,$164.00 
GAIT TRAINING 15 MIN,$153.00 
MANUAL THERAPY /2 UNITS,$330.00 
MANUAL THERAPY EA 15 MIN,$166.00 
THERAPEUTIC PROCEDURE\GROUP,$165.00 
PT EVALUATION-LOW COMPLEXITY,$329.00 
PT EVALUATION-MODERATE COMPLEXITY,$389.00 
PT WHEELCHAIR EVALUATION,$501.00 
PT EVALUATION-HIGH COMPLEXITY,$447.00 
PT RE-EVALUATION,$282.00 
PT RE-EVALUATION,$224.00 
OT EVALUATION-LOW COMPLEXITY,$387.00 
THERAPEUTIC ACTIVITY EA 15 MIN,$169.00 
PT ADL EDUCATION/15M,$154.00 
SELECTIVE DEBRIDEMENT,$512.00 
DEBRIDEMENT/NONSELECTIVE,$207.00 
NEG PRESSURE WOUND CARE,$512.00 
LOW FREQUENCY NON-THERMAL ULTRASOUND,$356.00 
ORTHOTIC TRAINING 15 MIN,$257.00 
PROSTHETIC TRAINING 15 MIN,$217.00 
MEDICAL NUTRITION THERAPY 15 MIN,$74.00 
MEDICAL NUTRITION THERP FOLLOW UP 15 MIN,$71.00 
MEDICAL NUTRITION THERP GROUP 30 MIN,$71.00 
COLLECTION URINE DRUG SCRN,$46.00 
COLLECTION EDPM URINE DRUG SCRN,$21.00 
THERAPEUTIC PHLEBOTOMY,$204.00 
OP LEVEL 1 NEW,$200.00 
OP LEVEL 2 NEW,$257.00 
OP LEVEL 3 NEW,$345.00 
OP LEVEL 4 NEW,$464.00 
OP LEVEL 5 NEW,$584.00 
TREATMENT ROOM,$189.00 
STERILE SPECULUM EXAM,$156.00 
PAIN/LIMITED ESTABLISHED,$261.00 
OP LEVEL 2 ESTABLISHED,$244.00 
PAIN/INTERMEDIATE ESTABLISHED,$316.00 
CHF LEVEL 3 ESTABLISHED,$296.00 
OP LEVEL 4 ESTABLISHED,$370.00 
OP LEVEL 5 ESTABLISHED,$473.00 
ER-EMERGENCY LEVEL I,$169.00 
ER-EMERGENCY LEVEL II,$283.00 
ER-EMERGENCY LEVEL III,$669.00 
ER-EMERGENCY LEVEL IV,$945.00 
ER-EMERGENCY LEVEL V,"$1,300.00 "
CRITICAL CARE 30 TO 74 MIN,"$1,650.00 "
ER-CRITICAL CARE ADD'L 30MIN,$607.00 
SMOKING/TOBACCO COUNSEL >3 MIN TO 10 MIN,$62.00 
NEWBORN RESUSCITATION,$777.00 
IFSP DEVELOPMENT-EI 15 MIN,$89.00 
LENS WAVE FRONT  SN60WF,"$1,019.00 "
ECHO LIMITED W CONTRAST,"$1,926.00 "
ECHO EXERCISE STRESS,"$2,997.00 "
ECHO W CONTRAST,"$2,997.00 "
ECHO DOBUTAMINE STRESS,"$2,997.00 "
FLU VAC ADMIN FEE,$85.00 
PNEUMONIA ADMIN FEE,$90.00 
PSA SCREENING,$199.00 
DIABETES INDIVIDUAL SMT 30 MIN,$148.00 
DIABETES GROUP SMT 30 MIN,$91.00 
PULMONARY EXERCISE/GROUP,$219.00 
MM DIAG BILAT TOMO HD,$85.00 
CT LUNG SCREENING,$899.00 
OCC BLD SCREEN-IMMUNO FECAL,$97.00 
OBSERVATION DIRECT ADMIT,$273.00 
HOME SLEEP STUDY,$795.00 
PUL REHAB MONITORING SESSION-COPD,$219.00 
NICOTINE/COTININE BLD/UR,$279.00 
Acute Care Private,"$1,541.00 "
Acute Care/Isolation,"$1,704.00 "
Acute Care/Telemetry,"$1,784.00 "
Acute Care/Isol/Tel,"$1,943.00 "
Swing Private,$725.00 
Swing/Isolation,$884.00 
Swing/Telemetry,$964.00 
Swing/Isol/Tel,"$1,127.00 "
Respite Private,$725.00 
Respite/Isolation,$884.00 
Obstetrics,"$1,453.00 "
Obstetrics/Isolation,"$1,613.00 "
Obstertrics/Telemetry,"$1,693.00 "
Obstetrics/Isol/Tel,"$1,853.00 "
Nursery,"$1,031.00 "
Nursery Boarder,"$1,031.00 "
Observation Hours,$300.00 
Observation Hours add'l hr,$152.00 
OBSETRVATION W.TELE,$341.00 
OBSETRVATION W.TELE add'l hr,$181.00 
